Barcodename	Run	Country	Site_old	Site	Species	Processingdays	Fraction	Sampletype	Replicate	Experiment	Soiltype	ph	AvailableNO3	AvailableP	AvailableK	AvailableCa	AvailableMg	ReserveP	ReserveK	ReserveCa	ReserveMg	Boron	Manganesium	Copper	Iron	MeanAirTemperature	MeanRelativeHumidity	included	latitude	longitude	bac_obs	fun_obs
geyen.RS.2P.XXX.Y1	B5-72	4	Germany	Geyen	GE2	At	0	RS	Pooled	2	First	Loam	6.5	15.7	19.3	29.9	46.3	7.8	117.2	162.5	1505	97.7	0.3	220	3.5	321	12.07	79.9	yes	50.978847	6.792978	333	253
geyen.RS.2S.XXX.Y1	B5-68	4	Germany	Geyen	GE2	At	0	RS	Single	2	First	Loam	6.5	15.7	19.3	29.9	46.3	7.8	117.2	162.5	1505	97.7	0.3	220	3.5	321	12.07	79.9	yes	50.978847	6.792978	272	184
geyen.RS.3P.XXX.Y1	B5-73	4	Germany	Geyen	GE2	At	0	RS	Pooled	3	First	Loam	6.5	15.7	19.3	29.9	46.3	7.8	117.2	162.5	1505	97.7	0.3	220	3.5	321	12.07	79.9	yes	50.978847	6.792978	0	252
geyen.RS.3S.XXX.Y1	B5-69	4	Germany	Geyen	GE2	At	0	RS	Single	3	First	Loam	6.5	15.7	19.3	29.9	46.3	7.8	117.2	162.5	1505	97.7	0.3	220	3.5	321	12.07	79.9	yes	50.978847	6.792978	328	93
geyen.RS.4P.XXX.Y1	B5-74	4	Germany	Geyen	GE2	At	0	RS	Pooled	4	First	Loam	6.5	15.7	19.3	29.9	46.3	7.8	117.2	162.5	1505	97.7	0.3	220	3.5	321	12.07	79.9	yes	50.978847	6.792978	281	182
geyen.RS.4S.XXX.Y1	B5-70	4	Germany	Geyen	GE2	At	0	RS	Single	4	First	Loam	6.5	15.7	19.3	29.9	46.3	7.8	117.2	162.5	1505	97.7	0.3	220	3.5	321	12.07	79.9	yes	50.978847	6.792978	0	177
geyen.RS.N1.XXX.Y1	B5-75	4	Germany	Geyen	GE2	Neighbor	0	RS	Neighbor	1	First	Loam	6.5	15.7	19.3	29.9	46.3	7.8	117.2	162.5	1505	97.7	0.3	220	3.5	321	12.07	79.9	yes	50.978847	6.792978	0	227
geyen.RS.N2.XXX.Y1	B5-76	4	Germany	Geyen	GE2	Neighbor	0	RS	Neighbor	2	First	Loam	6.5	15.7	19.3	29.9	46.3	7.8	117.2	162.5	1505	97.7	0.3	220	3.5	321	12.07	79.9	yes	50.978847	6.792978	213	116
geyen.RS.N3.XXX.Y1	B5-77	4	Germany	Geyen	GE2	Neighbor	0	RS	Neighbor	3	First	Loam	6.5	15.7	19.3	29.9	46.3	7.8	117.2	162.5	1505	97.7	0.3	220	3.5	321	12.07	79.9	yes	50.978847	6.792978	229	189
geyen.Soil.1P.XXX.Y1	B5-49	4	Germany	Geyen	GE2	At	0	Soil	Pooled	1	First	Loam	6.5	15.7	19.3	29.9	46.3	7.8	117.2	162.5	1505	97.7	0.3	220	3.5	321	12.07	79.9	yes	50.978847	6.792978	424	230
geyen.Soil.1S.XXX.Y1	B5-45	4	Germany	Geyen	GE2	At	0	Soil	Single	1	First	Loam	6.5	15.7	19.3	29.9	46.3	7.8	117.2	162.5	1505	97.7	0.3	220	3.5	321	12.07	79.9	yes	50.978847	6.792978	451	191
geyen.Soil.2P.XXX.Y1	B5-50	4	Germany	Geyen	GE2	At	0	Soil	Pooled	2	First	Loam	6.5	15.7	19.3	29.9	46.3	7.8	117.2	162.5	1505	97.7	0.3	220	3.5	321	12.07	79.9	yes	50.978847	6.792978	0	210
geyen.Soil.2S.XXX.Y1	B5-46	4	Germany	Geyen	GE2	At	0	Soil	Single	2	First	Loam	6.5	15.7	19.3	29.9	46.3	7.8	117.2	162.5	1505	97.7	0.3	220	3.5	321	12.07	79.9	yes	50.978847	6.792978	444	187
geyen.Soil.3P.XXX.Y1	B5-51	4	Germany	Geyen	GE2	At	0	Soil	Pooled	3	First	Loam	6.5	15.7	19.3	29.9	46.3	7.8	117.2	162.5	1505	97.7	0.3	220	3.5	321	12.07	79.9	yes	50.978847	6.792978	0	218
geyen.Soil.3S.XXX.Y1	B5-47	4	Germany	Geyen	GE2	At	0	Soil	Single	3	First	Loam	6.5	15.7	19.3	29.9	46.3	7.8	117.2	162.5	1505	97.7	0.3	220	3.5	321	12.07	79.9	yes	50.978847	6.792978	0	200
geyen.Soil.4P.XXX.Y1	B5-52	4	Germany	Geyen	GE2	At	0	Soil	Pooled	4	First	Loam	6.5	15.7	19.3	29.9	46.3	7.8	117.2	162.5	1505	97.7	0.3	220	3.5	321	12.07	79.9	yes	50.978847	6.792978	0	197
geyen.Soil.4S.XXX.Y1	B5-48	4	Germany	Geyen	GE2	At	0	Soil	Single	4	First	Loam	6.5	15.7	19.3	29.9	46.3	7.8	117.2	162.5	1505	97.7	0.3	220	3.5	321	12.07	79.9	yes	50.978847	6.792978	0	223
geyen.Soil.N1.XXX.Y1	B5-53	4	Germany	Geyen	GE2	Neighbor	0	Soil	Neighbor	1	First	Loam	6.5	15.7	19.3	29.9	46.3	7.8	117.2	162.5	1505	97.7	0.3	220	3.5	321	12.07	79.9	yes	50.978847	6.792978	0	185
geyen.Soil.N2.XXX.Y1	B5-54	4	Germany	Geyen	GE2	Neighbor	0	Soil	Neighbor	2	First	Loam	6.5	15.7	19.3	29.9	46.3	7.8	117.2	162.5	1505	97.7	0.3	220	3.5	321	12.07	79.9	yes	50.978847	6.792978	0	193
geyen.Soil.N3.XXX.Y1	B5-55	4	Germany	Geyen	GE2	Neighbor	0	Soil	Neighbor	3	First	Loam	6.5	15.7	19.3	29.9	46.3	7.8	117.2	162.5	1505	97.7	0.3	220	3.5	321	12.07	79.9	yes	50.978847	6.792978	0	187
ham.Root.1P.XXX.Y1	B5-82	6	Germany	Ham	GE6	At	3	Root	Pooled	1	First	Siltysand	7	3.7	3.1	3.8	34.6	2.5	45.1	60.9	2499	112	0.3	25	18.5	150	10.8	81.6	yes	53.34415	9.52255	32	182
ham.Root.1S.XXX.Y1	B5-78	6	Germany	Ham	GE6	At	3	Root	Single	1	First	Siltysand	7	3.7	3.1	3.8	34.6	2.5	45.1	60.9	2499	112	0.3	25	18.5	150	10.8	81.6	yes	53.34415	9.52255	71	0
ham.Root.2P.XXX.Y1	B5-83	6	Germany	Ham	GE6	At	3	Root	Pooled	2	First	Siltysand	7	3.7	3.1	3.8	34.6	2.5	45.1	60.9	2499	112	0.3	25	18.5	150	10.8	81.6	yes	53.34415	9.52255	60	115
ham.Root.2S.XXX.Y1	B5-79	6	Germany	Ham	GE6	At	3	Root	Single	2	First	Siltysand	7	3.7	3.1	3.8	34.6	2.5	45.1	60.9	2499	112	0.3	25	18.5	150	10.8	81.6	yes	53.34415	9.52255	60	0
ham.Root.3P.XXX.Y1	B5-84	6	Germany	Ham	GE6	At	3	Root	Pooled	3	First	Siltysand	7	3.7	3.1	3.8	34.6	2.5	45.1	60.9	2499	112	0.3	25	18.5	150	10.8	81.6	yes	53.34415	9.52255	50	149
ham.Root.3S.XXX.Y1	B5-80	6	Germany	Ham	GE6	At	3	Root	Single	3	First	Siltysand	7	3.7	3.1	3.8	34.6	2.5	45.1	60.9	2499	112	0.3	25	18.5	150	10.8	81.6	yes	53.34415	9.52255	0	0
ham.Root.4P.XXX.Y1	B5-85	6	Germany	Ham	GE6	At	3	Root	Pooled	4	First	Siltysand	7	3.7	3.1	3.8	34.6	2.5	45.1	60.9	2499	112	0.3	25	18.5	150	10.8	81.6	yes	53.34415	9.52255	61	169
ham.Root.4S.XXX.Y1	B5-81	6	Germany	Ham	GE6	At	3	Root	Single	4	First	Siltysand	7	3.7	3.1	3.8	34.6	2.5	45.1	60.9	2499	112	0.3	25	18.5	150	10.8	81.6	yes	53.34415	9.52255	0	215
ham.Root.N1.XXX.Y1	B5-86	6	Germany	Ham	GE6	Neighbor	3	Root	Neighbor	1	First	Siltysand	7	3.7	3.1	3.8	34.6	2.5	45.1	60.9	2499	112	0.3	25	18.5	150	10.8	81.6	yes	53.34415	9.52255	92	220
ham.Root.N2.XXX.Y1	B5-87	6	Germany	Ham	GE6	Neighbor	3	Root	Neighbor	2	First	Siltysand	7	3.7	3.1	3.8	34.6	2.5	45.1	60.9	2499	112	0.3	25	18.5	150	10.8	81.6	yes	53.34415	9.52255	0	193
ham.Root.N3.XXX.Y1	B5-88	6	Germany	Ham	GE6	Neighbor	3	Root	Neighbor	3	First	Siltysand	7	3.7	3.1	3.8	34.6	2.5	45.1	60.9	2499	112	0.3	25	18.5	150	10.8	81.6	yes	53.34415	9.52255	118	49
ham.RP.1P.XXX.Y1	B5-60	6	Germany	Ham	GE6	At	3	RP	Pooled	1	First	Siltysand	7	3.7	3.1	3.8	34.6	2.5	45.1	60.9	2499	112	0.3	25	18.5	150	10.8	81.6	yes	53.34415	9.52255	0	139
ham.RP.4P.XXX.Y1	B5-63	6	Germany	Ham	GE6	At	3	RP	Pooled	4	First	Siltysand	7	3.7	3.1	3.8	34.6	2.5	45.1	60.9	2499	112	0.3	25	18.5	150	10.8	81.6	yes	53.34415	9.52255	247	135
ham.RP.4S.XXX.Y1	B5-59	6	Germany	Ham	GE6	At	3	RP	Single	4	First	Siltysand	7	3.7	3.1	3.8	34.6	2.5	45.1	60.9	2499	112	0.3	25	18.5	150	10.8	81.6	yes	53.34415	9.52255	0	0
ham.RP.N1.XXX.Y1	B5-64	6	Germany	Ham	GE6	Neighbor	3	RP	Neighbor	1	First	Siltysand	7	3.7	3.1	3.8	34.6	2.5	45.1	60.9	2499	112	0.3	25	18.5	150	10.8	81.6	yes	53.34415	9.52255	0	96
ham.RP.N2.XXX.Y1	B5-65	6	Germany	Ham	GE6	Neighbor	3	RP	Neighbor	2	First	Siltysand	7	3.7	3.1	3.8	34.6	2.5	45.1	60.9	2499	112	0.3	25	18.5	150	10.8	81.6	yes	53.34415	9.52255	0	126
ham.RP.N3.XXX.Y1	B5-66	6	Germany	Ham	GE6	Neighbor	3	RP	Neighbor	3	First	Siltysand	7	3.7	3.1	3.8	34.6	2.5	45.1	60.9	2499	112	0.3	25	18.5	150	10.8	81.6	yes	53.34415	9.52255	0	0
ham.RS.1P.XXX.Y1	B5-71	6	Germany	Ham	GE6	At	3	RS	Pooled	1	First	Siltysand	7	3.7	3.1	3.8	34.6	2.5	45.1	60.9	2499	112	0.3	25	18.5	150	10.8	81.6	yes	53.34415	9.52255	460	215
ham.RS.1S.XXX.Y1	B5-67	6	Germany	Ham	GE6	At	3	RS	Single	1	First	Siltysand	7	3.7	3.1	3.8	34.6	2.5	45.1	60.9	2499	112	0.3	25	18.5	150	10.8	81.6	yes	53.34415	9.52255	0	218
ham.RS.2P.XXX.Y1	B5-72	6	Germany	Ham	GE6	At	3	RS	Pooled	2	First	Siltysand	7	3.7	3.1	3.8	34.6	2.5	45.1	60.9	2499	112	0.3	25	18.5	150	10.8	81.6	yes	53.34415	9.52255	461	204
ham.RS.2S.XXX.Y1	B5-68	6	Germany	Ham	GE6	At	3	RS	Single	2	First	Siltysand	7	3.7	3.1	3.8	34.6	2.5	45.1	60.9	2499	112	0.3	25	18.5	150	10.8	81.6	yes	53.34415	9.52255	457	194
ham.RS.3P.XXX.Y1	B5-73	6	Germany	Ham	GE6	At	3	RS	Pooled	3	First	Siltysand	7	3.7	3.1	3.8	34.6	2.5	45.1	60.9	2499	112	0.3	25	18.5	150	10.8	81.6	yes	53.34415	9.52255	453	200
ham.RS.3S.XXX.Y1	B5-69	6	Germany	Ham	GE6	At	3	RS	Single	3	First	Siltysand	7	3.7	3.1	3.8	34.6	2.5	45.1	60.9	2499	112	0.3	25	18.5	150	10.8	81.6	yes	53.34415	9.52255	480	194
ham.RS.4P.XXX.Y1	B5-74	6	Germany	Ham	GE6	At	3	RS	Pooled	4	First	Siltysand	7	3.7	3.1	3.8	34.6	2.5	45.1	60.9	2499	112	0.3	25	18.5	150	10.8	81.6	yes	53.34415	9.52255	437	251
ham.RS.4S.XXX.Y1	B5-70	6	Germany	Ham	GE6	At	3	RS	Single	4	First	Siltysand	7	3.7	3.1	3.8	34.6	2.5	45.1	60.9	2499	112	0.3	25	18.5	150	10.8	81.6	yes	53.34415	9.52255	394	160
ham.RS.N1.XXX.Y1	B5-75	6	Germany	Ham	GE6	Neighbor	3	RS	Neighbor	1	First	Siltysand	7	3.7	3.1	3.8	34.6	2.5	45.1	60.9	2499	112	0.3	25	18.5	150	10.8	81.6	yes	53.34415	9.52255	366	201
ham.RS.N2.XXX.Y1	B5-76	6	Germany	Ham	GE6	Neighbor	3	RS	Neighbor	2	First	Siltysand	7	3.7	3.1	3.8	34.6	2.5	45.1	60.9	2499	112	0.3	25	18.5	150	10.8	81.6	yes	53.34415	9.52255	386	196
ham.RS.N3.XXX.Y1	B5-77	6	Germany	Ham	GE6	Neighbor	3	RS	Neighbor	3	First	Siltysand	7	3.7	3.1	3.8	34.6	2.5	45.1	60.9	2499	112	0.3	25	18.5	150	10.8	81.6	yes	53.34415	9.52255	399	160
ham.Soil.1P.XXX.Y1	B5-49	6	Germany	Ham	GE6	At	3	Soil	Pooled	1	First	Siltysand	7	3.7	3.1	3.8	34.6	2.5	45.1	60.9	2499	112	0.3	25	18.5	150	10.8	81.6	yes	53.34415	9.52255	472	137
ham.Soil.1S.XXX.Y1	B5-45	6	Germany	Ham	GE6	At	3	Soil	Single	1	First	Siltysand	7	3.7	3.1	3.8	34.6	2.5	45.1	60.9	2499	112	0.3	25	18.5	150	10.8	81.6	yes	53.34415	9.52255	452	138
