Barcodename	Run	Country	Site_old	Site	Species	Processingdays	Fraction	Sampletype	Replicate	Experiment	Soiltype	ph	AvailableNO3	AvailableP	AvailableK	AvailableCa	AvailableMg	ReserveP	ReserveK	ReserveCa	ReserveMg	Boron	Manganesium	Copper	Iron	MeanAirTemperature	MeanRelativeHumidity	included	latitude	longitude	bac_obs	fun_obs
spa2.Root.1S.XXX.Y1	B5-34	5	Spain	Spa2	SP2	At	3	Root	Single	1	First	Sand	7.5	3	0.8	6	79.7	4.6	15	8.7	3766	47.5	0	19	0.4	29	13.1	67.4	yes	41.21372	-4.54556	0	210
spa2.Root.2P.XXX.Y1	B5-39	5	Spain	Spa2	SP2	At	3	Root	Pooled	2	First	Sand	7.5	3	0.8	6	79.7	4.6	15	8.7	3766	47.5	0	19	0.4	29	13.1	67.4	yes	41.21372	-4.54556	52	214
spa2.Root.2P.XXX.Y2	B5-17	12	Spain	Spa2	SP2	At	2	Root	Pooled	2	Second	Sand	7.5	3	0.8	6	79.7	4.6	15	8.7	3766	47.5	0	19	0.4	29	13.1	67.4	yes	41.21372	-4.54556	86	0
spa2.Root.2P.XXX.Y3	B5-40	13	Spain	Spa2	SP2	At	2	Root	Pooled	2	Third	Sand	7.5	3	0.8	6	79.7	4.6	15	8.7	3766	47.5	0	19	0.4	29	13.1	67.4	yes	41.21372	-4.54556	119	0
spa2.Root.2S.XXX.Y1	B5-35	5	Spain	Spa2	SP2	At	3	Root	Single	2	First	Sand	7.5	3	0.8	6	79.7	4.6	15	8.7	3766	47.5	0	19	0.4	29	13.1	67.4	yes	41.21372	-4.54556	0	206
spa2.Root.3P.XXX.Y1	B5-40	5	Spain	Spa2	SP2	At	3	Root	Pooled	3	First	Sand	7.5	3	0.8	6	79.7	4.6	15	8.7	3766	47.5	0	19	0.4	29	13.1	67.4	yes	41.21372	-4.54556	0	197
spa2.Root.3P.XXX.Y2	B5-18	12	Spain	Spa2	SP2	At	2	Root	Pooled	3	Second	Sand	7.5	3	0.8	6	79.7	4.6	15	8.7	3766	47.5	0	19	0.4	29	13.1	67.4	yes	41.21372	-4.54556	97	19
spa2.Root.3P.XXX.Y3	B5-68	13	Spain	Spa2	SP2	At	2	Root	Pooled	3	Third	Sand	7.5	3	0.8	6	79.7	4.6	15	8.7	3766	47.5	0	19	0.4	29	13.1	67.4	yes	41.21372	-4.54556	201	0
spa2.Root.3S.XXX.Y1	B5-36	5	Spain	Spa2	SP2	At	3	Root	Single	3	First	Sand	7.5	3	0.8	6	79.7	4.6	15	8.7	3766	47.5	0	19	0.4	29	13.1	67.4	yes	41.21372	-4.54556	77	249
spa2.Root.4P.XXX.Y1	B5-41	5	Spain	Spa2	SP2	At	3	Root	Pooled	4	First	Sand	7.5	3	0.8	6	79.7	4.6	15	8.7	3766	47.5	0	19	0.4	29	13.1	67.4	yes	41.21372	-4.54556	0	164
spa2.Root.4P.XXX.Y2	B5-19	12	Spain	Spa2	SP2	At	2	Root	Pooled	4	Second	Sand	7.5	3	0.8	6	79.7	4.6	15	8.7	3766	47.5	0	19	0.4	29	13.1	67.4	yes	41.21372	-4.54556	88	16
spa2.Root.4P.XXX.Y3	B5-69	13	Spain	Spa2	SP2	At	2	Root	Pooled	4	Third	Sand	7.5	3	0.8	6	79.7	4.6	15	8.7	3766	47.5	0	19	0.4	29	13.1	67.4	yes	41.21372	-4.54556	24	0
spa2.Root.4S.XXX.Y1	B5-37	5	Spain	Spa2	SP2	At	3	Root	Single	4	First	Sand	7.5	3	0.8	6	79.7	4.6	15	8.7	3766	47.5	0	19	0.4	29	13.1	67.4	yes	41.21372	-4.54556	0	184
spa2.Root.N1.XXX.Y1	B5-42	5	Spain	Spa2	SP2	Neighbor	3	Root	Neighbor	1	First	Sand	7.5	3	0.8	6	79.7	4.6	15	8.7	3766	47.5	0	19	0.4	29	13.1	67.4	yes	41.21372	-4.54556	57	252
spa2.Root.N1.XXX.Y2	B5-20	12	Spain	Spa2	SP2	Neighbor	2	Root	Neighbor	1	Second	Sand	7.5	3	0.8	6	79.7	4.6	15	8.7	3766	47.5	0	19	0.4	29	13.1	67.4	yes	41.21372	-4.54556	109	12
spa2.Root.N2.XXX.Y1	B5-43	5	Spain	Spa2	SP2	Neighbor	3	Root	Neighbor	2	First	Sand	7.5	3	0.8	6	79.7	4.6	15	8.7	3766	47.5	0	19	0.4	29	13.1	67.4	yes	41.21372	-4.54556	0	210
spa2.Root.N3.XXX.Y1	B5-44	5	Spain	Spa2	SP2	Neighbor	3	Root	Neighbor	3	First	Sand	7.5	3	0.8	6	79.7	4.6	15	8.7	3766	47.5	0	19	0.4	29	13.1	67.4	yes	41.21372	-4.54556	73	0
spa2.RP.1P.XXX.Y1	B5-16	5	Spain	Spa2	SP2	At	3	RP	Pooled	1	First	Sand	7.5	3	0.8	6	79.7	4.6	15	8.7	3766	47.5	0	19	0.4	29	13.1	67.4	yes	41.21372	-4.54556	0	149
spa2.RP.1P.XXX.Y2	B5-6	12	Spain	Spa2	SP2	At	2	RP	Pooled	1	Second	Sand	7.5	3	0.8	6	79.7	4.6	15	8.7	3766	47.5	0	19	0.4	29	13.1	67.4	yes	41.21372	-4.54556	162	0
spa2.RP.1P.XXX.Y3	B5-29	13	Spain	Spa2	SP2	At	2	RP	Pooled	1	Third	Sand	7.5	3	0.8	6	79.7	4.6	15	8.7	3766	47.5	0	19	0.4	29	13.1	67.4	yes	41.21372	-4.54556	239	42
spa2.RP.1S.XXX.Y1	B5-12	5	Spain	Spa2	SP2	At	3	RP	Single	1	First	Sand	7.5	3	0.8	6	79.7	4.6	15	8.7	3766	47.5	0	19	0.4	29	13.1	67.4	yes	41.21372	-4.54556	0	135
spa2.RP.2P.XXX.Y1	B5-17	5	Spain	Spa2	SP2	At	3	RP	Pooled	2	First	Sand	7.5	3	0.8	6	79.7	4.6	15	8.7	3766	47.5	0	19	0.4	29	13.1	67.4	yes	41.21372	-4.54556	0	115
spa2.RP.2P.XXX.Y2	B5-7	12	Spain	Spa2	SP2	At	2	RP	Pooled	2	Second	Sand	7.5	3	0.8	6	79.7	4.6	15	8.7	3766	47.5	0	19	0.4	29	13.1	67.4	yes	41.21372	-4.54556	173	0
spa2.RP.2P.XXX.Y3	B5-30	13	Spain	Spa2	SP2	At	2	RP	Pooled	2	Third	Sand	7.5	3	0.8	6	79.7	4.6	15	8.7	3766	47.5	0	19	0.4	29	13.1	67.4	yes	41.21372	-4.54556	258	38
spa2.RP.2S.XXX.Y1	B5-13	5	Spain	Spa2	SP2	At	3	RP	Single	2	First	Sand	7.5	3	0.8	6	79.7	4.6	15	8.7	3766	47.5	0	19	0.4	29	13.1	67.4	yes	41.21372	-4.54556	0	133
spa2.RP.3P.XXX.Y1	B5-18	5	Spain	Spa2	SP2	At	3	RP	Pooled	3	First	Sand	7.5	3	0.8	6	79.7	4.6	15	8.7	3766	47.5	0	19	0.4	29	13.1	67.4	yes	41.21372	-4.54556	196	134
spa2.RP.3P.XXX.Y2	B5-8	12	Spain	Spa2	SP2	At	2	RP	Pooled	3	Second	Sand	7.5	3	0.8	6	79.7	4.6	15	8.7	3766	47.5	0	19	0.4	29	13.1	67.4	yes	41.21372	-4.54556	161	56
spa2.RP.3P.XXX.Y3	B5-59	13	Spain	Spa2	SP2	At	2	RP	Pooled	3	Third	Sand	7.5	3	0.8	6	79.7	4.6	15	8.7	3766	47.5	0	19	0.4	29	13.1	67.4	yes	41.21372	-4.54556	253	47
spa2.RP.3S.XXX.Y1	B5-14	5	Spain	Spa2	SP2	At	3	RP	Single	3	First	Sand	7.5	3	0.8	6	79.7	4.6	15	8.7	3766	47.5	0	19	0.4	29	13.1	67.4	yes	41.21372	-4.54556	0	103
spa2.RP.4P.XXX.Y1	B5-19	5	Spain	Spa2	SP2	At	3	RP	Pooled	4	First	Sand	7.5	3	0.8	6	79.7	4.6	15	8.7	3766	47.5	0	19	0.4	29	13.1	67.4	yes	41.21372	-4.54556	199	110
spa2.RP.4P.XXX.Y2	B5-9	12	Spain	Spa2	SP2	At	2	RP	Pooled	4	Second	Sand	7.5	3	0.8	6	79.7	4.6	15	8.7	3766	47.5	0	19	0.4	29	13.1	67.4	yes	41.21372	-4.54556	179	80
spa2.RP.4P.XXX.Y3	B5-60	13	Spain	Spa2	SP2	At	2	RP	Pooled	4	Third	Sand	7.5	3	0.8	6	79.7	4.6	15	8.7	3766	47.5	0	19	0.4	29	13.1	67.4	yes	41.21372	-4.54556	272	51
spa2.RP.4S.XXX.Y1	B5-15	5	Spain	Spa2	SP2	At	3	RP	Single	4	First	Sand	7.5	3	0.8	6	79.7	4.6	15	8.7	3766	47.5	0	19	0.4	29	13.1	67.4	yes	41.21372	-4.54556	0	157
spa2.RP.N1.XXX.Y1	B5-20	5	Spain	Spa2	SP2	Neighbor	3	RP	Neighbor	1	First	Sand	7.5	3	0.8	6	79.7	4.6	15	8.7	3766	47.5	0	19	0.4	29	13.1	67.4	yes	41.21372	-4.54556	200	151
spa2.RP.N1.XXX.Y2	B5-10	12	Spain	Spa2	SP2	Neighbor	2	RP	Neighbor	1	Second	Sand	7.5	3	0.8	6	79.7	4.6	15	8.7	3766	47.5	0	19	0.4	29	13.1	67.4	yes	41.21372	-4.54556	0	0
spa2.RP.N2.XXX.Y1	B5-21	5	Spain	Spa2	SP2	Neighbor	3	RP	Neighbor	2	First	Sand	7.5	3	0.8	6	79.7	4.6	15	8.7	3766	47.5	0	19	0.4	29	13.1	67.4	yes	41.21372	-4.54556	195	133
spa2.RP.N3.XXX.Y1	B5-22	5	Spain	Spa2	SP2	Neighbor	3	RP	Neighbor	3	First	Sand	7.5	3	0.8	6	79.7	4.6	15	8.7	3766	47.5	0	19	0.4	29	13.1	67.4	yes	41.21372	-4.54556	190	176
spa2.RS.1P.XXX.Y1	B5-27	5	Spain	Spa2	SP2	At	3	RS	Pooled	1	First	Sand	7.5	3	0.8	6	79.7	4.6	15	8.7	3766	47.5	0	19	0.4	29	13.1	67.4	yes	41.21372	-4.54556	0	230
spa2.RS.1P.XXX.Y2	B5-11	12	Spain	Spa2	SP2	At	2	RS	Pooled	1	Second	Sand	7.5	3	0.8	6	79.7	4.6	15	8.7	3766	47.5	0	19	0.4	29	13.1	67.4	yes	41.21372	-4.54556	447	241
spa2.RS.1P.XXX.Y3	B5-19	13	Spain	Spa2	SP2	At	2	RS	Pooled	1	Third	Sand	7.5	3	0.8	6	79.7	4.6	15	8.7	3766	47.5	0	19	0.4	29	13.1	67.4	yes	41.21372	-4.54556	469	188
spa2.RS.1S.XXX.Y1	B5-23	5	Spain	Spa2	SP2	At	3	RS	Single	1	First	Sand	7.5	3	0.8	6	79.7	4.6	15	8.7	3766	47.5	0	19	0.4	29	13.1	67.4	yes	41.21372	-4.54556	407	189
spa2.RS.2P.XXX.Y1	B5-28	5	Spain	Spa2	SP2	At	3	RS	Pooled	2	First	Sand	7.5	3	0.8	6	79.7	4.6	15	8.7	3766	47.5	0	19	0.4	29	13.1	67.4	yes	41.21372	-4.54556	353	202
spa2.RS.2P.XXX.Y2	B5-12	12	Spain	Spa2	SP2	At	2	RS	Pooled	2	Second	Sand	7.5	3	0.8	6	79.7	4.6	15	8.7	3766	47.5	0	19	0.4	29	13.1	67.4	yes	41.21372	-4.54556	460	192
spa2.RS.2P.XXX.Y3	B5-20	13	Spain	Spa2	SP2	At	2	RS	Pooled	2	Third	Sand	7.5	3	0.8	6	79.7	4.6	15	8.7	3766	47.5	0	19	0.4	29	13.1	67.4	yes	41.21372	-4.54556	472	189
spa2.RS.2S.XXX.Y1	B5-24	5	Spain	Spa2	SP2	At	3	RS	Single	2	First	Sand	7.5	3	0.8	6	79.7	4.6	15	8.7	3766	47.5	0	19	0.4	29	13.1	67.4	yes	41.21372	-4.54556	361	194
spa2.RS.3P.XXX.Y1	B5-29	5	Spain	Spa2	SP2	At	3	RS	Pooled	3	First	Sand	7.5	3	0.8	6	79.7	4.6	15	8.7	3766	47.5	0	19	0.4	29	13.1	67.4	yes	41.21372	-4.54556	0	183
spa2.RS.3P.XXX.Y2	B5-13	12	Spain	Spa2	SP2	At	2	RS	Pooled	3	Second	Sand	7.5	3	0.8	6	79.7	4.6	15	8.7	3766	47.5	0	19	0.4	29	13.1	67.4	yes	41.21372	-4.54556	428	248
spa2.RS.3P.XXX.Y3	B5-50	13	Spain	Spa2	SP2	At	2	RS	Pooled	3	Third	Sand	7.5	3	0.8	6	79.7	4.6	15	8.7	3766	47.5	0	19	0.4	29	13.1	67.4	yes	41.21372	-4.54556	477	206
spa2.RS.3S.XXX.Y1	B5-25	5	Spain	Spa2	SP2	At	3	RS	Single	3	First	Sand	7.5	3	0.8	6	79.7	4.6	15	8.7	3766	47.5	0	19	0.4	29	13.1	67.4	yes	41.21372	-4.54556	319	256
spa2.RS.4P.XXX.Y1	B5-30	5	Spain	Spa2	SP2	At	3	RS	Pooled	4	First	Sand	7.5	3	0.8	6	79.7	4.6	15	8.7	3766	47.5	0	19	0.4	29	13.1	67.4	yes	41.21372	-4.54556	0	215
spa2.RS.4P.XXX.Y2	B5-14	12	Spain	Spa2	SP2	At	2	RS	Pooled	4	Second	Sand	7.5	3	0.8	6	79.7	4.6	15	8.7	3766	47.5	0	19	0.4	29	13.1	67.4	yes	41.21372	-4.54556	458	186
spa2.RS.4P.XXX.Y3	B5-51	13	Spain	Spa2	SP2	At	2	RS	Pooled	4	Third	Sand	7.5	3	0.8	6	79.7	4.6	15	8.7	3766	47.5	0	19	0.4	29	13.1	67.4	yes	41.21372	-4.54556	422	184
spa2.RS.4S.XXX.Y1	B5-26	5	Spain	Spa2	SP2	At	3	RS	Single	4	First	Sand	7.5	3	0.8	6	79.7	4.6	15	8.7	3766	47.5	0	19	0.4	29	13.1	67.4	yes	41.21372	-4.54556	409	227
spa2.RS.N1.XXX.Y1	B5-31	5	Spain	Spa2	SP2	Neighbor	3	RS	Neighbor	1	First	Sand	7.5	3	0.8	6	79.7	4.6	15	8.7	3766	47.5	0	19	0.4	29	13.1	67.4	yes	41.21372	-4.54556	350	206
spa2.RS.N1.XXX.Y2	B5-15	12	Spain	Spa2	SP2	Neighbor	2	RS	Neighbor	1	Second	Sand	7.5	3	0.8	6	79.7	4.6	15	8.7	3766	47.5	0	19	0.4	29	13.1	67.4	yes	41.21372	-4.54556	430	109
spa2.RS.N2.XXX.Y1	B5-32	5	Spain	Spa2	SP2	Neighbor	3	RS	Neighbor	2	First	Sand	7.5	3	0.8	6	79.7	4.6	15	8.7	3766	47.5	0	19	0.4	29	13.1	67.4	yes	41.21372	-4.54556	0	288
spa2.RS.N3.XXX.Y1	B5-33	5	Spain	Spa2	SP2	Neighbor	3	RS	Neighbor	3	First	Sand	7.5	3	0.8	6	79.7	4.6	15	8.7	3766	47.5	0	19	0.4	29	13.1	67.4	yes	41.21372	-4.54556	0	230
spa2.Soil.1P.XXX.Y1	B5-5	5	Spain	Spa2	SP2	At	3	Soil	Pooled	1	First	Sand	7.5	3	0.8	6	79.7	4.6	15	8.7	3766	47.5	0	19	0.4	29	13.1	67.4	yes	41.21372	-4.54556	427	290
spa2.Soil.1P.XXX.Y2	B5-1	12	Spain	Spa2	SP2	At	2	Soil	Pooled	1	Second	Sand	7.5	3	0.8	6	79.7	4.6	15	8.7	3766	47.5	0	19	0.4	29	13.1	67.4	yes	41.21372	-4.54556	503	175
spa2.Soil.1P.XXX.Y3	B5-9	13	Spain	Spa2	SP2	At	2	Soil	Pooled	1	Third	Sand	7.5	3	0.8	6	79.7	4.6	15	8.7	3766	47.5	0	19	0.4	29	13.1	67.4	yes	41.21372	-4.54556	483	188
spa2.Soil.1S.XXX.Y1	B5-1	5	Spain	Spa2	SP2	At	3	Soil	Single	1	First	Sand	7.5	3	0.8	6	79.7	4.6	15	8.7	3766	47.5	0	19	0.4	29	13.1	67.4	yes	41.21372	-4.54556	428	227
spa2.Soil.2P.XXX.Y1	B5-6	5	Spain	Spa2	SP2	At	3	Soil	Pooled	2	First	Sand	7.5	3	0.8	6	79.7	4.6	15	8.7	3766	47.5	0	19	0.4	29	13.1	67.4	yes	41.21372	-4.54556	453	288
spa2.Soil.2P.XXX.Y2	B5-2	12	Spain	Spa2	SP2	At	2	Soil	Pooled	2	Second	Sand	7.5	3	0.8	6	79.7	4.6	15	8.7	3766	47.5	0	19	0.4	29	13.1	67.4	yes	41.21372	-4.54556	499	189
spa2.Soil.2P.XXX.Y3	B5-10	13	Spain	Spa2	SP2	At	2	Soil	Pooled	2	Third	Sand	7.5	3	0.8	6	79.7	4.6	15	8.7	3766	47.5	0	19	0.4	29	13.1	67.4	yes	41.21372	-4.54556	490	186
spa2.Soil.2S.XXX.Y1	B5-2	5	Spain	Spa2	SP2	At	3	Soil	Single	2	First	Sand	7.5	3	0.8	6	79.7	4.6	15	8.7	3766	47.5	0	19	0.4	29	13.1	67.4	yes	41.21372	-4.54556	458	143
spa2.Soil.3P.XXX.Y1	B5-7	5	Spain	Spa2	SP2	At	3	Soil	Pooled	3	First	Sand	7.5	3	0.8	6	79.7	4.6	15	8.7	3766	47.5	0	19	0.4	29	13.1	67.4	yes	41.21372	-4.54556	463	281
spa2.Soil.3P.XXX.Y2	B5-3	12	Spain	Spa2	SP2	At	2	Soil	Pooled	3	Second	Sand	7.5	3	0.8	6	79.7	4.6	15	8.7	3766	47.5	0	19	0.4	29	13.1	67.4	yes	41.21372	-4.54556	462	138
spa2.Soil.3P.XXX.Y3	B5-41	13	Spain	Spa2	SP2	At	2	Soil	Pooled	3	Third	Sand	7.5	3	0.8	6	79.7	4.6	15	8.7	3766	47.5	0	19	0.4	29	13.1	67.4	yes	41.21372	-4.54556	487	183
spa2.Soil.3S.XXX.Y1	B5-3	5	Spain	Spa2	SP2	At	3	Soil	Single	3	First	Sand	7.5	3	0.8	6	79.7	4.6	15	8.7	3766	47.5	0	19	0.4	29	13.1	67.4	yes	41.21372	-4.54556	465	300
spa2.Soil.4P.XXX.Y1	B5-8	5	Spain	Spa2	SP2	At	3	Soil	Pooled	4	First	Sand	7.5	3	0.8	6	79.7	4.6	15	8.7	3766	47.5	0	19	0.4	29	13.1	67.4	yes	41.21372	-4.54556	0	272
spa2.Soil.4P.XXX.Y2	B5-4	12	Spain	Spa2	SP2	At	2	Soil	Pooled	4	Second	Sand	7.5	3	0.8	6	79.7	4.6	15	8.7	3766	47.5	0	19	0.4	29	13.1	67.4	yes	41.21372	-4.54556	450	173
spa2.Soil.4P.XXX.Y3	B5-42	13	Spain	Spa2	SP2	At	2	Soil	Pooled	4	Third	Sand	7.5	3	0.8	6	79.7	4.6	15	8.7	3766	47.5	0	19	0.4	29	13.1	67.4	yes	41.21372	-4.54556	496	170
spa2.Soil.4S.XXX.Y1	B5-4	5	Spain	Spa2	SP2	At	3	Soil	Single	4	First	Sand	7.5	3	0.8	6	79.7	4.6	15	8.7	3766	47.5	0	19	0.4	29	13.1	67.4	yes	41.21372	-4.54556	467	272
spa2.Soil.N1.XXX.Y1	B5-9	5	Spain	Spa2	SP2	Neighbor	3	Soil	Neighbor	1	First	Sand	7.5	3	0.8	6	79.7	4.6	15	8.7	3766	47.5	0	19	0.4	29	13.1	67.4	yes	41.21372	-4.54556	473	267
spa2.Soil.N1.XXX.Y2	B5-5	12	Spain	Spa2	SP2	Neighbor	2	Soil	Neighbor	1	Second	Sand	7.5	3	0.8	6	79.7	4.6	15	8.7	3766	47.5	0	19	0.4	29	13.1	67.4	yes	41.21372	-4.54556	487	119
spa2.Soil.N2.XXX.Y1	B5-10	5	Spain	Spa2	SP2	Neighbor	3	Soil	Neighbor	2	First	Sand	7.5	3	0.8	6	79.7	4.6	15	8.7	3766	47.5	0	19	0.4	29	13.1	67.4	yes	41.21372	-4.54556	0	286
spa2.Soil.N3.XXX.Y1	B5-11	5	Spain	Spa2	SP2	Neighbor	3	Soil	Neighbor	3	First	Sand	7.5	3	0.8	6	79.7	4.6	15	8.7	3766	47.5	0	19	0.4	29	13.1	67.4	yes	41.21372	-4.54556	0	278
spa3.Root.1P.XXX.Y1	B5-19	1	Spain	Spa3	SP3	At	4	Root	Pooled	1	First	Sand	7.5	4.2	0	6.7	82.1	2.4	20.2	13.6	4347	47.5	0.3	54	1.2	96	12.8	68.8	yes	41.79275	-3.10814	75	45
spa3.Root.1P.XXX.Y2	B5-79	9	Spain	Spa3	SP3	At	1	Root	Pooled	1	Second	Sand	7.5	4.2	0	6.7	82.1	2.4	20.2	13.6	4347	47.5	0.3	54	1.2	96	12.8	68.8	yes	41.79275	-3.10814	0	0
spa3.Root.1P.XXX.Y3	B5-70	13	Spain	Spa3	SP3	At	2	Root	Pooled	1	Third	Sand	7.5	4.2	0	6.7	82.1	2.4	20.2	13.6	4347	47.5	0.3	54	1.2	96	12.8	68.8	yes	41.79275	-3.10814	175	0
spa3.Root.1S.XXX.Y1	B5-17 	1	Spain	Spa3	SP3	At	4	Root	Single	1	First	Sand	7.5	4.2	0	6.7	82.1	2.4	20.2	13.6	4347	47.5	0.3	54	1.2	96	12.8	68.8	yes	41.79275	-3.10814	38	123
spa3.Root.2P.XXX.Y1	B5-20 	1	Spain	Spa3	SP3	At	4	Root	Pooled	2	First	Sand	7.5	4.2	0	6.7	82.1	2.4	20.2	13.6	4347	47.5	0.3	54	1.2	96	12.8	68.8	yes	41.79275	-3.10814	89	56
spa3.Root.2P.XXX.Y2	B5-80	9	Spain	Spa3	SP3	At	1	Root	Pooled	2	Second	Sand	7.5	4.2	0	6.7	82.1	2.4	20.2	13.6	4347	47.5	0.3	54	1.2	96	12.8	68.8	yes	41.79275	-3.10814	151	0
spa3.Root.2P.XXX.Y3	B5-71	13	Spain	Spa3	SP3	At	1	Root	Pooled	2	Third	Sand	7.5	4.2	0	6.7	82.1	2.4	20.2	13.6	4347	47.5	0.3	54	1.2	96	12.8	68.8	yes	41.79275	-3.10814	126	0
spa3.Root.2S.XXX.Y1	B5-18	1	Spain	Spa3	SP3	At	4	Root	Single	2	First	Sand	7.5	4.2	0	6.7	82.1	2.4	20.2	13.6	4347	47.5	0.3	54	1.2	96	12.8	68.8	yes	41.79275	-3.10814	55	48
spa3.Root.3P.XXX.Y1	B5-21 	1	Spain	Spa3	SP3	At	4	Root	Pooled	3	First	Sand	7.5	4.2	0	6.7	82.1	2.4	20.2	13.6	4347	47.5	0.3	54	1.2	96	12.8	68.8	yes	41.79275	-3.10814	82	36
spa3.Root.3P.XXX.Y2	B5-81	9	Spain	Spa3	SP3	At	1	Root	Pooled	3	Second	Sand	7.5	4.2	0	6.7	82.1	2.4	20.2	13.6	4347	47.5	0.3	54	1.2	96	12.8	68.8	yes	41.79275	-3.10814	0	0
spa3.Root.3P.XXX.Y3	B5-72	13	Spain	Spa3	SP3	At	1	Root	Pooled	3	Third	Sand	7.5	4.2	0	6.7	82.1	2.4	20.2	13.6	4347	47.5	0.3	54	1.2	96	12.8	68.8	yes	41.79275	-3.10814	143	0
spa3.Root.3S.XXX.Y1	B5-34 	1	Spain	Spa3	SP3	At	4	Root	Single	3	First	Sand	7.5	4.2	0	6.7	82.1	2.4	20.2	13.6	4347	47.5	0.3	54	1.2	96	12.8	68.8	yes	41.79275	-3.10814	87	26
spa3.Root.4P.XXX.Y1	B5-44	1	Spain	Spa3	SP3	At	4	Root	Pooled	4	First	Sand	7.5	4.2	0	6.7	82.1	2.4	20.2	13.6	4347	47.5	0.3	54	1.2	96	12.8	68.8	yes	41.79275	-3.10814	90	41
spa3.Root.4P.XXX.Y2	B5-82	9	Spain	Spa3	SP3	At	1	Root	Pooled	4	Second	Sand	7.5	4.2	0	6.7	82.1	2.4	20.2	13.6	4347	47.5	0.3	54	1.2	96	12.8	68.8	yes	41.79275	-3.10814	0	0
spa3.Root.4S.XXX.Y1	B5-35 	1	Spain	Spa3	SP3	At	4	Root	Single	4	First	Sand	7.5	4.2	0	6.7	82.1	2.4	20.2	13.6	4347	47.5	0.3	54	1.2	96	12.8	68.8	yes	41.79275	-3.10814	89	38
spa3.Root.N1.XXX.Y1	B5-22 	1	Spain	Spa3	SP3	Neighbor	4	Root	Neighbor	1	First	Sand	7.5	4.2	0	6.7	82.1	2.4	20.2	13.6	4347	47.5	0.3	54	1.2	96	12.8	68.8	yes	41.79275	-3.10814	42	38
spa3.Root.N1.XXX.Y2	B5-83	9	Spain	Spa3	SP3	Neighbor	1	Root	Neighbor	1	Second	Sand	7.5	4.2	0	6.7	82.1	2.4	20.2	13.6	4347	47.5	0.3	54	1.2	96	12.8	68.8	yes	41.79275	-3.10814	0	0
spa3.Root.N2.XXX.Y1	B5-23 	1	Spain	Spa3	SP3	Neighbor	4	Root	Neighbor	2	First	Sand	7.5	4.2	0	6.7	82.1	2.4	20.2	13.6	4347	47.5	0.3	54	1.2	96	12.8	68.8	yes	41.79275	-3.10814	116	63
spa3.Root.N3.XXX.Y1	B5-24 	1	Spain	Spa3	SP3	Neighbor	4	Root	Neighbor	3	First	Sand	7.5	4.2	0	6.7	82.1	2.4	20.2	13.6	4347	47.5	0.3	54	1.2	96	12.8	68.8	yes	41.79275	-3.10814	83	50
spa3.RP.1P.XXX.Y1	B5-30 	1	Spain	Spa3	SP3	At	4	RP	Pooled	1	First	Sand	7.5	4.2	0	6.7	82.1	2.4	20.2	13.6	4347	47.5	0.3	54	1.2	96	12.8	68.8	yes	41.79275	-3.10814	249	51
spa3.RP.1P.XXX.Y2	B5-54	9	Spain	Spa3	SP3	At	1	RP	Pooled	1	Second	Sand	7.5	4.2	0	6.7	82.1	2.4	20.2	13.6	4347	47.5	0.3	54	1.2	96	12.8	68.8	yes	41.79275	-3.10814	325	0
spa3.RP.1P.XXX.Y3	B5-61	13	Spain	Spa3	SP3	At	2	RP	Pooled	1	Third	Sand	7.5	4.2	0	6.7	82.1	2.4	20.2	13.6	4347	47.5	0.3	54	1.2	96	12.8	68.8	yes	41.79275	-3.10814	201	48
spa3.RP.1S.XXX.Y1	B5-26	1	Spain	Spa3	SP3	At	4	RP	Single	1	First	Sand	7.5	4.2	0	6.7	82.1	2.4	20.2	13.6	4347	47.5	0.3	54	1.2	96	12.8	68.8	yes	41.79275	-3.10814	207	25
spa3.RP.2P.XXX.Y1	B5-31	1	Spain	Spa3	SP3	At	4	RP	Pooled	2	First	Sand	7.5	4.2	0	6.7	82.1	2.4	20.2	13.6	4347	47.5	0.3	54	1.2	96	12.8	68.8	yes	41.79275	-3.10814	262	168
spa3.RP.2P.XXX.Y2	B5-55	9	Spain	Spa3	SP3	At	1	RP	Pooled	2	Second	Sand	7.5	4.2	0	6.7	82.1	2.4	20.2	13.6	4347	47.5	0.3	54	1.2	96	12.8	68.8	yes	41.79275	-3.10814	210	0
spa3.RP.2P.XXX.Y3	B5-62	13	Spain	Spa3	SP3	At	1	RP	Pooled	2	Third	Sand	7.5	4.2	0	6.7	82.1	2.4	20.2	13.6	4347	47.5	0.3	54	1.2	96	12.8	68.8	yes	41.79275	-3.10814	219	24
spa3.RP.2S.XXX.Y1	B5-27 	1	Spain	Spa3	SP3	At	4	RP	Single	2	First	Sand	7.5	4.2	0	6.7	82.1	2.4	20.2	13.6	4347	47.5	0.3	54	1.2	96	12.8	68.8	yes	41.79275	-3.10814	195	0
spa3.RP.3P.XXX.Y1	B5-32 	1	Spain	Spa3	SP3	At	4	RP	Pooled	3	First	Sand	7.5	4.2	0	6.7	82.1	2.4	20.2	13.6	4347	47.5	0.3	54	1.2	96	12.8	68.8	yes	41.79275	-3.10814	274	111
spa3.RP.3P.XXX.Y2	B5-56	9	Spain	Spa3	SP3	At	1	RP	Pooled	3	Second	Sand	7.5	4.2	0	6.7	82.1	2.4	20.2	13.6	4347	47.5	0.3	54	1.2	96	12.8	68.8	yes	41.79275	-3.10814	192	92
