	Site	Species	Fraction	Sampletype	Experiment	ph	AvailableNO3	AvailableP	AvailableK	AvailableCa	AvailableMg	ReserveP	ReserveK	ReserveCa	ReserveMg	Boron	Manganesium	Copper	Iron	MeanAirTemperature	MeanRelativeHumidity	latitude	longitude
swe3.Soil.3P.V5.Y1	SW3	At	Soil	Pooled	First	5.3	58.3	3.6	18.8	87	29.3	21.8	63.7	3327	374.2	0.1	49	2.1	1294	5.07	83.5	63.00974	18.19028
swe3.Soil.3P.V5.Y2	SW3	At	Soil	Pooled	Second	5.3	58.3	3.6	18.8	87	29.3	21.8	63.7	3327	374.2	0.1	49	2.1	1294	5.07	83.5	63.00974	18.19028
swe3.Soil.3P.V5.Y3	SW3	At	Soil	Pooled	Third	5.3	58.3	3.6	18.8	87	29.3	21.8	63.7	3327	374.2	0.1	49	2.1	1294	5.07	83.5	63.00974	18.19028
swe3.Soil.3S.V5.Y1	SW3	At	Soil	Single	First	5.3	58.3	3.6	18.8	87	29.3	21.8	63.7	3327	374.2	0.1	49	2.1	1294	5.07	83.5	63.00974	18.19028
swe3.Soil.4P.V5.Y1	SW3	At	Soil	Pooled	First	5.3	58.3	3.6	18.8	87	29.3	21.8	63.7	3327	374.2	0.1	49	2.1	1294	5.07	83.5	63.00974	18.19028
swe3.Soil.4P.V5.Y2	SW3	At	Soil	Pooled	Second	5.3	58.3	3.6	18.8	87	29.3	21.8	63.7	3327	374.2	0.1	49	2.1	1294	5.07	83.5	63.00974	18.19028
swe3.Soil.4S.V5.Y1	SW3	At	Soil	Single	First	5.3	58.3	3.6	18.8	87	29.3	21.8	63.7	3327	374.2	0.1	49	2.1	1294	5.07	83.5	63.00974	18.19028
swe3.Soil.N1.V5.Y1	SW3	Neighbor	Soil	Neighbor	First	5.3	58.3	3.6	18.8	87	29.3	21.8	63.7	3327	374.2	0.1	49	2.1	1294	5.07	83.5	63.00974	18.19028
swe3.Soil.N1.V5.Y2	SW3	Neighbor	Soil	Neighbor	Second	5.3	58.3	3.6	18.8	87	29.3	21.8	63.7	3327	374.2	0.1	49	2.1	1294	5.07	83.5	63.00974	18.19028
swe3.Soil.N2.V5.Y1	SW3	Neighbor	Soil	Neighbor	First	5.3	58.3	3.6	18.8	87	29.3	21.8	63.7	3327	374.2	0.1	49	2.1	1294	5.07	83.5	63.00974	18.19028
swe3.Soil.N3.V5.Y1	SW3	Neighbor	Soil	Neighbor	First	5.3	58.3	3.6	18.8	87	29.3	21.8	63.7	3327	374.2	0.1	49	2.1	1294	5.07	83.5	63.00974	18.19028
swe4.Root.1P.V5.Y1	SW4	At	Root	Pooled	First	6.2	8	1.4	11.7	14.8	5.9	5.8	62	897.6	100.8	0	35	3.2	712	6	80	62.4843	18.12073
swe4.Root.1P.V5.Y2	SW4	At	Root	Pooled	Second	6.2	8	1.4	11.7	14.8	5.9	5.8	62	897.6	100.8	0	35	3.2	712	6	80	62.4843	18.12073
swe4.Root.1P.V5.Y3	SW4	At	Root	Pooled	Third	6.2	8	1.4	11.7	14.8	5.9	5.8	62	897.6	100.8	0	35	3.2	712	6	80	62.4843	18.12073
swe4.Root.1S.V5.Y1	SW4	At	Root	Single	First	6.2	8	1.4	11.7	14.8	5.9	5.8	62	897.6	100.8	0	35	3.2	712	6	80	62.4843	18.12073
swe4.Root.2P.V5.Y1	SW4	At	Root	Pooled	First	6.2	8	1.4	11.7	14.8	5.9	5.8	62	897.6	100.8	0	35	3.2	712	6	80	62.4843	18.12073
swe4.Root.2P.V5.Y2	SW4	At	Root	Pooled	Second	6.2	8	1.4	11.7	14.8	5.9	5.8	62	897.6	100.8	0	35	3.2	712	6	80	62.4843	18.12073
swe4.Root.2P.V5.Y3	SW4	At	Root	Pooled	Third	6.2	8	1.4	11.7	14.8	5.9	5.8	62	897.6	100.8	0	35	3.2	712	6	80	62.4843	18.12073
swe4.Root.2S.V5.Y1	SW4	At	Root	Single	First	6.2	8	1.4	11.7	14.8	5.9	5.8	62	897.6	100.8	0	35	3.2	712	6	80	62.4843	18.12073
swe4.Root.3P.V5.Y1	SW4	At	Root	Pooled	First	6.2	8	1.4	11.7	14.8	5.9	5.8	62	897.6	100.8	0	35	3.2	712	6	80	62.4843	18.12073
swe4.Root.3P.V5.Y2	SW4	At	Root	Pooled	Second	6.2	8	1.4	11.7	14.8	5.9	5.8	62	897.6	100.8	0	35	3.2	712	6	80	62.4843	18.12073
swe4.Root.3P.V5.Y3	SW4	At	Root	Pooled	Third	6.2	8	1.4	11.7	14.8	5.9	5.8	62	897.6	100.8	0	35	3.2	712	6	80	62.4843	18.12073
swe4.Root.3S.V5.Y1	SW4	At	Root	Single	First	6.2	8	1.4	11.7	14.8	5.9	5.8	62	897.6	100.8	0	35	3.2	712	6	80	62.4843	18.12073
swe4.Root.4P.V5.Y1	SW4	At	Root	Pooled	First	6.2	8	1.4	11.7	14.8	5.9	5.8	62	897.6	100.8	0	35	3.2	712	6	80	62.4843	18.12073
swe4.Root.4P.V5.Y2	SW4	At	Root	Pooled	Second	6.2	8	1.4	11.7	14.8	5.9	5.8	62	897.6	100.8	0	35	3.2	712	6	80	62.4843	18.12073
swe4.Root.4S.V5.Y1	SW4	At	Root	Single	First	6.2	8	1.4	11.7	14.8	5.9	5.8	62	897.6	100.8	0	35	3.2	712	6	80	62.4843	18.12073
swe4.Root.N1.V5.Y1	SW4	Neighbor	Root	Neighbor	First	6.2	8	1.4	11.7	14.8	5.9	5.8	62	897.6	100.8	0	35	3.2	712	6	80	62.4843	18.12073
swe4.Root.N1.V5.Y2	SW4	Neighbor	Root	Neighbor	Second	6.2	8	1.4	11.7	14.8	5.9	5.8	62	897.6	100.8	0	35	3.2	712	6	80	62.4843	18.12073
swe4.Root.N2.V5.Y1	SW4	Neighbor	Root	Neighbor	First	6.2	8	1.4	11.7	14.8	5.9	5.8	62	897.6	100.8	0	35	3.2	712	6	80	62.4843	18.12073
swe4.Root.N3.V5.Y1	SW4	Neighbor	Root	Neighbor	First	6.2	8	1.4	11.7	14.8	5.9	5.8	62	897.6	100.8	0	35	3.2	712	6	80	62.4843	18.12073
swe4.RP.1P.V5.Y1	SW4	At	RP	Pooled	First	6.2	8	1.4	11.7	14.8	5.9	5.8	62	897.6	100.8	0	35	3.2	712	6	80	62.4843	18.12073
swe4.RP.1P.V5.Y2	SW4	At	RP	Pooled	Second	6.2	8	1.4	11.7	14.8	5.9	5.8	62	897.6	100.8	0	35	3.2	712	6	80	62.4843	18.12073
swe4.RP.1P.V5.Y3	SW4	At	RP	Pooled	Third	6.2	8	1.4	11.7	14.8	5.9	5.8	62	897.6	100.8	0	35	3.2	712	6	80	62.4843	18.12073
swe4.RP.1S.V5.Y1	SW4	At	RP	Single	First	6.2	8	1.4	11.7	14.8	5.9	5.8	62	897.6	100.8	0	35	3.2	712	6	80	62.4843	18.12073
swe4.RP.2P.V5.Y1	SW4	At	RP	Pooled	First	6.2	8	1.4	11.7	14.8	5.9	5.8	62	897.6	100.8	0	35	3.2	712	6	80	62.4843	18.12073
swe4.RP.2P.V5.Y2	SW4	At	RP	Pooled	Second	6.2	8	1.4	11.7	14.8	5.9	5.8	62	897.6	100.8	0	35	3.2	712	6	80	62.4843	18.12073
swe4.RP.2P.V5.Y3	SW4	At	RP	Pooled	Third	6.2	8	1.4	11.7	14.8	5.9	5.8	62	897.6	100.8	0	35	3.2	712	6	80	62.4843	18.12073
swe4.RP.2S.V5.Y1	SW4	At	RP	Single	First	6.2	8	1.4	11.7	14.8	5.9	5.8	62	897.6	100.8	0	35	3.2	712	6	80	62.4843	18.12073
swe4.RP.3P.V5.Y1	SW4	At	RP	Pooled	First	6.2	8	1.4	11.7	14.8	5.9	5.8	62	897.6	100.8	0	35	3.2	712	6	80	62.4843	18.12073
swe4.RP.3P.V5.Y2	SW4	At	RP	Pooled	Second	6.2	8	1.4	11.7	14.8	5.9	5.8	62	897.6	100.8	0	35	3.2	712	6	80	62.4843	18.12073
swe4.RP.3P.V5.Y3	SW4	At	RP	Pooled	Third	6.2	8	1.4	11.7	14.8	5.9	5.8	62	897.6	100.8	0	35	3.2	712	6	80	62.4843	18.12073
swe4.RP.3S.V5.Y1	SW4	At	RP	Single	First	6.2	8	1.4	11.7	14.8	5.9	5.8	62	897.6	100.8	0	35	3.2	712	6	80	62.4843	18.12073
swe4.RP.4P.V5.Y1	SW4	At	RP	Pooled	First	6.2	8	1.4	11.7	14.8	5.9	5.8	62	897.6	100.8	0	35	3.2	712	6	80	62.4843	18.12073
swe4.RP.4P.V5.Y2	SW4	At	RP	Pooled	Second	6.2	8	1.4	11.7	14.8	5.9	5.8	62	897.6	100.8	0	35	3.2	712	6	80	62.4843	18.12073
swe4.RP.4S.V5.Y1	SW4	At	RP	Single	First	6.2	8	1.4	11.7	14.8	5.9	5.8	62	897.6	100.8	0	35	3.2	712	6	80	62.4843	18.12073
swe4.RP.N1.V5.Y1	SW4	Neighbor	RP	Neighbor	First	6.2	8	1.4	11.7	14.8	5.9	5.8	62	897.6	100.8	0	35	3.2	712	6	80	62.4843	18.12073
swe4.RP.N1.V5.Y2	SW4	Neighbor	RP	Neighbor	Second	6.2	8	1.4	11.7	14.8	5.9	5.8	62	897.6	100.8	0	35	3.2	712	6	80	62.4843	18.12073
swe4.RP.N2.V5.Y1	SW4	Neighbor	RP	Neighbor	First	6.2	8	1.4	11.7	14.8	5.9	5.8	62	897.6	100.8	0	35	3.2	712	6	80	62.4843	18.12073
swe4.RP.N3.V5.Y1	SW4	Neighbor	RP	Neighbor	First	6.2	8	1.4	11.7	14.8	5.9	5.8	62	897.6	100.8	0	35	3.2	712	6	80	62.4843	18.12073
swe4.RS.1P.V5.Y1	SW4	At	RS	Pooled	First	6.2	8	1.4	11.7	14.8	5.9	5.8	62	897.6	100.8	0	35	3.2	712	6	80	62.4843	18.12073
swe4.RS.1P.V5.Y2	SW4	At	RS	Pooled	Second	6.2	8	1.4	11.7	14.8	5.9	5.8	62	897.6	100.8	0	35	3.2	712	6	80	62.4843	18.12073
swe4.RS.1P.V5.Y3	SW4	At	RS	Pooled	Third	6.2	8	1.4	11.7	14.8	5.9	5.8	62	897.6	100.8	0	35	3.2	712	6	80	62.4843	18.12073
swe4.RS.1S.V5.Y1	SW4	At	RS	Single	First	6.2	8	1.4	11.7	14.8	5.9	5.8	62	897.6	100.8	0	35	3.2	712	6	80	62.4843	18.12073
swe4.RS.2P.V5.Y1	SW4	At	RS	Pooled	First	6.2	8	1.4	11.7	14.8	5.9	5.8	62	897.6	100.8	0	35	3.2	712	6	80	62.4843	18.12073
swe4.RS.2P.V5.Y2	SW4	At	RS	Pooled	Second	6.2	8	1.4	11.7	14.8	5.9	5.8	62	897.6	100.8	0	35	3.2	712	6	80	62.4843	18.12073
swe4.RS.2P.V5.Y3	SW4	At	RS	Pooled	Third	6.2	8	1.4	11.7	14.8	5.9	5.8	62	897.6	100.8	0	35	3.2	712	6	80	62.4843	18.12073
swe4.RS.2S.V5.Y1	SW4	At	RS	Single	First	6.2	8	1.4	11.7	14.8	5.9	5.8	62	897.6	100.8	0	35	3.2	712	6	80	62.4843	18.12073
swe4.RS.3P.V5.Y1	SW4	At	RS	Pooled	First	6.2	8	1.4	11.7	14.8	5.9	5.8	62	897.6	100.8	0	35	3.2	712	6	80	62.4843	18.12073
swe4.RS.3P.V5.Y2	SW4	At	RS	Pooled	Second	6.2	8	1.4	11.7	14.8	5.9	5.8	62	897.6	100.8	0	35	3.2	712	6	80	62.4843	18.12073
swe4.RS.3P.V5.Y3	SW4	At	RS	Pooled	Third	6.2	8	1.4	11.7	14.8	5.9	5.8	62	897.6	100.8	0	35	3.2	712	6	80	62.4843	18.12073
swe4.RS.3S.V5.Y1	SW4	At	RS	Single	First	6.2	8	1.4	11.7	14.8	5.9	5.8	62	897.6	100.8	0	35	3.2	712	6	80	62.4843	18.12073
swe4.RS.4P.V5.Y1	SW4	At	RS	Pooled	First	6.2	8	1.4	11.7	14.8	5.9	5.8	62	897.6	100.8	0	35	3.2	712	6	80	62.4843	18.12073
swe4.RS.4P.V5.Y2	SW4	At	RS	Pooled	Second	6.2	8	1.4	11.7	14.8	5.9	5.8	62	897.6	100.8	0	35	3.2	712	6	80	62.4843	18.12073
swe4.RS.4S.V5.Y1	SW4	At	RS	Single	First	6.2	8	1.4	11.7	14.8	5.9	5.8	62	897.6	100.8	0	35	3.2	712	6	80	62.4843	18.12073
swe4.RS.N1.V5.Y1	SW4	Neighbor	RS	Neighbor	First	6.2	8	1.4	11.7	14.8	5.9	5.8	62	897.6	100.8	0	35	3.2	712	6	80	62.4843	18.12073
swe4.RS.N1.V5.Y2	SW4	Neighbor	RS	Neighbor	Second	6.2	8	1.4	11.7	14.8	5.9	5.8	62	897.6	100.8	0	35	3.2	712	6	80	62.4843	18.12073
swe4.RS.N2.V5.Y1	SW4	Neighbor	RS	Neighbor	First	6.2	8	1.4	11.7	14.8	5.9	5.8	62	897.6	100.8	0	35	3.2	712	6	80	62.4843	18.12073
swe4.RS.N3.V5.Y1	SW4	Neighbor	RS	Neighbor	First	6.2	8	1.4	11.7	14.8	5.9	5.8	62	897.6	100.8	0	35	3.2	712	6	80	62.4843	18.12073
swe4.Soil.1P.V5.Y1	SW4	At	Soil	Pooled	First	6.2	8	1.4	11.7	14.8	5.9	5.8	62	897.6	100.8	0	35	3.2	712	6	80	62.4843	18.12073
swe4.Soil.1P.V5.Y2	SW4	At	Soil	Pooled	Second	6.2	8	1.4	11.7	14.8	5.9	5.8	62	897.6	100.8	0	35	3.2	712	6	80	62.4843	18.12073
swe4.Soil.1P.V5.Y3	SW4	At	Soil	Pooled	Third	6.2	8	1.4	11.7	14.8	5.9	5.8	62	897.6	100.8	0	35	3.2	712	6	80	62.4843	18.12073
swe4.Soil.1S.V5.Y1	SW4	At	Soil	Single	First	6.2	8	1.4	11.7	14.8	5.9	5.8	62	897.6	100.8	0	35	3.2	712	6	80	62.4843	18.12073
swe4.Soil.2P.V5.Y1	SW4	At	Soil	Pooled	First	6.2	8	1.4	11.7	14.8	5.9	5.8	62	897.6	100.8	0	35	3.2	712	6	80	62.4843	18.12073
swe4.Soil.2P.V5.Y2	SW4	At	Soil	Pooled	Second	6.2	8	1.4	11.7	14.8	5.9	5.8	62	897.6	100.8	0	35	3.2	712	6	80	62.4843	18.12073
swe4.Soil.2P.V5.Y3	SW4	At	Soil	Pooled	Third	6.2	8	1.4	11.7	14.8	5.9	5.8	62	897.6	100.8	0	35	3.2	712	6	80	62.4843	18.12073
swe4.Soil.2S.V5.Y1	SW4	At	Soil	Single	First	6.2	8	1.4	11.7	14.8	5.9	5.8	62	897.6	100.8	0	35	3.2	712	6	80	62.4843	18.12073
swe4.Soil.3P.V5.Y1	SW4	At	Soil	Pooled	First	6.2	8	1.4	11.7	14.8	5.9	5.8	62	897.6	100.8	0	35	3.2	712	6	80	62.4843	18.12073
swe4.Soil.3P.V5.Y2	SW4	At	Soil	Pooled	Second	6.2	8	1.4	11.7	14.8	5.9	5.8	62	897.6	100.8	0	35	3.2	712	6	80	62.4843	18.12073
swe4.Soil.3P.V5.Y3	SW4	At	Soil	Pooled	Third	6.2	8	1.4	11.7	14.8	5.9	5.8	62	897.6	100.8	0	35	3.2	712	6	80	62.4843	18.12073
swe4.Soil.3S.V5.Y1	SW4	At	Soil	Single	First	6.2	8	1.4	11.7	14.8	5.9	5.8	62	897.6	100.8	0	35	3.2	712	6	80	62.4843	18.12073
swe4.Soil.4P.V5.Y1	SW4	At	Soil	Pooled	First	6.2	8	1.4	11.7	14.8	5.9	5.8	62	897.6	100.8	0	35	3.2	712	6	80	62.4843	18.12073
swe4.Soil.4P.V5.Y2	SW4	At	Soil	Pooled	Second	6.2	8	1.4	11.7	14.8	5.9	5.8	62	897.6	100.8	0	35	3.2	712	6	80	62.4843	18.12073
swe4.Soil.4S.V5.Y1	SW4	At	Soil	Single	First	6.2	8	1.4	11.7	14.8	5.9	5.8	62	897.6	100.8	0	35	3.2	712	6	80	62.4843	18.12073
swe4.Soil.N1.V5.Y1	SW4	Neighbor	Soil	Neighbor	First	6.2	8	1.4	11.7	14.8	5.9	5.8	62	897.6	100.8	0	35	3.2	712	6	80	62.4843	18.12073
swe4.Soil.N1.V5.Y2	SW4	Neighbor	Soil	Neighbor	Second	6.2	8	1.4	11.7	14.8	5.9	5.8	62	897.6	100.8	0	35	3.2	712	6	80	62.4843	18.12073
swe4.Soil.N2.V5.Y1	SW4	Neighbor	Soil	Neighbor	First	6.2	8	1.4	11.7	14.8	5.9	5.8	62	897.6	100.8	0	35	3.2	712	6	80	62.4843	18.12073
swe4.Soil.N3.V5.Y1	SW4	Neighbor	Soil	Neighbor	First	6.2	8	1.4	11.7	14.8	5.9	5.8	62	897.6	100.8	0	35	3.2	712	6	80	62.4843	18.12073
tou1.Root.1P.V5.Y1	FR1	At	Root	Pooled	First	7.6	55.9	14.9	29.1	147	37.3	133.1	59.3	21760	1519	1	193	2	117	15.07	73.8	43.5649	1.6519
tou1.Root.1P.V5.Y2	FR1	At	Root	Pooled	Second	7.6	55.9	14.9	29.1	147	37.3	133.1	59.3	21760	1519	1	193	2	117	15.07	73.8	43.5649	1.6519
tou1.Root.1P.V5.Y3	FR1	At	Root	Pooled	Third	7.6	55.9	14.9	29.1	147	37.3	133.1	59.3	21760	1519	1	193	2	117	15.07	73.8	43.5649	1.6519
tou1.Root.1S.V5.Y1	FR1	At	Root	Single	First	7.6	55.9	14.9	29.1	147	37.3	133.1	59.3	21760	1519	1	193	2	117	15.07	73.8	43.5649	1.6519
tou1.Root.2P.V5.Y1	FR1	At	Root	Pooled	First	7.6	55.9	14.9	29.1	147	37.3	133.1	59.3	21760	1519	1	193	2	117	15.07	73.8	43.5649	1.6519
tou1.Root.2P.V5.Y2	FR1	At	Root	Pooled	Second	7.6	55.9	14.9	29.1	147	37.3	133.1	59.3	21760	1519	1	193	2	117	15.07	73.8	43.5649	1.6519
tou1.Root.2P.V5.Y3	FR1	At	Root	Pooled	Third	7.6	55.9	14.9	29.1	147	37.3	133.1	59.3	21760	1519	1	193	2	117	15.07	73.8	43.5649	1.6519
tou1.Root.2S.V5.Y1	FR1	At	Root	Single	First	7.6	55.9	14.9	29.1	147	37.3	133.1	59.3	21760	1519	1	193	2	117	15.07	73.8	43.5649	1.6519
tou1.Root.3P.V5.Y1	FR1	At	Root	Pooled	First	7.6	55.9	14.9	29.1	147	37.3	133.1	59.3	21760	1519	1	193	2	117	15.07	73.8	43.5649	1.6519
tou1.Root.3P.V5.Y2	FR1	At	Root	Pooled	Second	7.6	55.9	14.9	29.1	147	37.3	133.1	59.3	21760	1519	1	193	2	117	15.07	73.8	43.5649	1.6519
tou1.Root.3P.V5.Y3	FR1	At	Root	Pooled	Third	7.6	55.9	14.9	29.1	147	37.3	133.1	59.3	21760	1519	1	193	2	117	15.07	73.8	43.5649	1.6519
tou1.Root.3S.V5.Y1	FR1	At	Root	Single	First	7.6	55.9	14.9	29.1	147	37.3	133.1	59.3	21760	1519	1	193	2	117	15.07	73.8	43.5649	1.6519
tou1.Root.4P.V5.Y1	FR1	At	Root	Pooled	First	7.6	55.9	14.9	29.1	147	37.3	133.1	59.3	21760	1519	1	193	2	117	15.07	73.8	43.5649	1.6519
tou1.Root.4P.V5.Y2	FR1	At	Root	Pooled	Second	7.6	55.9	14.9	29.1	147	37.3	133.1	59.3	21760	1519	1	193	2	117	15.07	73.8	43.5649	1.6519
tou1.Root.4P.V5.Y3	FR1	At	Root	Pooled	Third	7.6	55.9	14.9	29.1	147	37.3	133.1	59.3	21760	1519	1	193	2	117	15.07	73.8	43.5649	1.6519
tou1.Root.4S.V5.Y1	FR1	At	Root	Single	First	7.6	55.9	14.9	29.1	147	37.3	133.1	59.3	21760	1519	1	193	2	117	15.07	73.8	43.5649	1.6519
tou1.Root.N1.V5.Y1	FR1	Neighbor	Root	Neighbor	First	7.6	55.9	14.9	29.1	147	37.3	133.1	59.3	21760	1519	1	193	2	117	15.07	73.8	43.5649	1.6519
tou1.Root.N1.V5.Y2	FR1	Neighbor	Root	Neighbor	Second	7.6	55.9	14.9	29.1	147	37.3	133.1	59.3	21760	1519	1	193	2	117	15.07	73.8	43.5649	1.6519
tou1.Root.N2.V5.Y1	FR1	Neighbor	Root	Neighbor	First	7.6	55.9	14.9	29.1	147	37.3	133.1	59.3	21760	1519	1	193	2	117	15.07	73.8	43.5649	1.6519
tou1.Root.N3.V5.Y1	FR1	Neighbor	Root	Neighbor	First	7.6	55.9	14.9	29.1	147	37.3	133.1	59.3	21760	1519	1	193	2	117	15.07	73.8	43.5649	1.6519
tou1.RP.1P.V5.Y1	FR1	At	RP	Pooled	First	7.6	55.9	14.9	29.1	147	37.3	133.1	59.3	21760	1519	1	193	2	117	15.07	73.8	43.5649	1.6519
tou1.RP.1P.V5.Y2	FR1	At	RP	Pooled	Second	7.6	55.9	14.9	29.1	147	37.3	133.1	59.3	21760	1519	1	193	2	117	15.07	73.8	43.5649	1.6519
tou1.RP.1P.V5.Y3	FR1	At	RP	Pooled	Third	7.6	55.9	14.9	29.1	147	37.3	133.1	59.3	21760	1519	1	193	2	117	15.07	73.8	43.5649	1.6519
tou1.RP.1S.V5.Y1	FR1	At	RP	Single	First	7.6	55.9	14.9	29.1	147	37.3	133.1	59.3	21760	1519	1	193	2	117	15.07	73.8	43.5649	1.6519
tou1.RP.2P.V5.Y1	FR1	At	RP	Pooled	First	7.6	55.9	14.9	29.1	147	37.3	133.1	59.3	21760	1519	1	193	2	117	15.07	73.8	43.5649	1.6519
tou1.RP.2P.V5.Y2	FR1	At	RP	Pooled	Second	7.6	55.9	14.9	29.1	147	37.3	133.1	59.3	21760	1519	1	193	2	117	15.07	73.8	43.5649	1.6519
tou1.RP.2P.V5.Y3	FR1	At	RP	Pooled	Third	7.6	55.9	14.9	29.1	147	37.3	133.1	59.3	21760	1519	1	193	2	117	15.07	73.8	43.5649	1.6519
tou1.RP.2S.V5.Y1	FR1	At	RP	Single	First	7.6	55.9	14.9	29.1	147	37.3	133.1	59.3	21760	1519	1	193	2	117	15.07	73.8	43.5649	1.6519
tou1.RP.3P.V5.Y1	FR1	At	RP	Pooled	First	7.6	55.9	14.9	29.1	147	37.3	133.1	59.3	21760	1519	1	193	2	117	15.07	73.8	43.5649	1.6519
tou1.RP.3P.V5.Y2	FR1	At	RP	Pooled	Second	7.6	55.9	14.9	29.1	147	37.3	133.1	59.3	21760	1519	1	193	2	117	15.07	73.8	43.5649	1.6519
tou1.RP.3P.V5.Y3	FR1	At	RP	Pooled	Third	7.6	55.9	14.9	29.1	147	37.3	133.1	59.3	21760	1519	1	193	2	117	15.07	73.8	43.5649	1.6519
tou1.RP.3S.V5.Y1	FR1	At	RP	Single	First	7.6	55.9	14.9	29.1	147	37.3	133.1	59.3	21760	1519	1	193	2	117	15.07	73.8	43.5649	1.6519
tou1.RP.4P.V5.Y1	FR1	At	RP	Pooled	First	7.6	55.9	14.9	29.1	147	37.3	133.1	59.3	21760	1519	1	193	2	117	15.07	73.8	43.5649	1.6519
tou1.RP.4P.V5.Y2	FR1	At	RP	Pooled	Second	7.6	55.9	14.9	29.1	147	37.3	133.1	59.3	21760	1519	1	193	2	117	15.07	73.8	43.5649	1.6519
tou1.RP.4P.V5.Y3	FR1	At	RP	Pooled	Third	7.6	55.9	14.9	29.1	147	37.3	133.1	59.3	21760	1519	1	193	2	117	15.07	73.8	43.5649	1.6519
tou1.RP.N1.V5.Y1	FR1	Neighbor	RP	Neighbor	First	7.6	55.9	14.9	29.1	147	37.3	133.1	59.3	21760	1519	1	193	2	117	15.07	73.8	43.5649	1.6519
tou1.RP.N1.V5.Y2	FR1	Neighbor	RP	Neighbor	Second	7.6	55.9	14.9	29.1	147	37.3	133.1	59.3	21760	1519	1	193	2	117	15.07	73.8	43.5649	1.6519
tou1.RP.N2.V5.Y1	FR1	Neighbor	RP	Neighbor	First	7.6	55.9	14.9	29.1	147	37.3	133.1	59.3	21760	1519	1	193	2	117	15.07	73.8	43.5649	1.6519
tou1.RP.N3.V5.Y1	FR1	Neighbor	RP	Neighbor	First	7.6	55.9	14.9	29.1	147	37.3	133.1	59.3	21760	1519	1	193	2	117	15.07	73.8	43.5649	1.6519
tou1.RS.1P.V5.Y1	FR1	At	RS	Pooled	First	7.6	55.9	14.9	29.1	147	37.3	133.1	59.3	21760	1519	1	193	2	117	15.07	73.8	43.5649	1.6519
tou1.RS.1P.V5.Y2	FR1	At	RS	Pooled	Second	7.6	55.9	14.9	29.1	147	37.3	133.1	59.3	21760	1519	1	193	2	117	15.07	73.8	43.5649	1.6519
tou1.RS.1P.V5.Y3	FR1	At	RS	Pooled	Third	7.6	55.9	14.9	29.1	147	37.3	133.1	59.3	21760	1519	1	193	2	117	15.07	73.8	43.5649	1.6519
tou1.RS.1S.V5.Y1	FR1	At	RS	Single	First	7.6	55.9	14.9	29.1	147	37.3	133.1	59.3	21760	1519	1	193	2	117	15.07	73.8	43.5649	1.6519
tou1.RS.2P.V5.Y1	FR1	At	RS	Pooled	First	7.6	55.9	14.9	29.1	147	37.3	133.1	59.3	21760	1519	1	193	2	117	15.07	73.8	43.5649	1.6519
tou1.RS.2P.V5.Y2	FR1	At	RS	Pooled	Second	7.6	55.9	14.9	29.1	147	37.3	133.1	59.3	21760	1519	1	193	2	117	15.07	73.8	43.5649	1.6519
tou1.RS.2P.V5.Y3	FR1	At	RS	Pooled	Third	7.6	55.9	14.9	29.1	147	37.3	133.1	59.3	21760	1519	1	193	2	117	15.07	73.8	43.5649	1.6519
tou1.RS.2S.V5.Y1	FR1	At	RS	Single	First	7.6	55.9	14.9	29.1	147	37.3	133.1	59.3	21760	1519	1	193	2	117	15.07	73.8	43.5649	1.6519
tou1.RS.3P.V5.Y1	FR1	At	RS	Pooled	First	7.6	55.9	14.9	29.1	147	37.3	133.1	59.3	21760	1519	1	193	2	117	15.07	73.8	43.5649	1.6519
tou1.RS.3P.V5.Y2	FR1	At	RS	Pooled	Second	7.6	55.9	14.9	29.1	147	37.3	133.1	59.3	21760	1519	1	193	2	117	15.07	73.8	43.5649	1.6519
tou1.RS.3P.V5.Y3	FR1	At	RS	Pooled	Third	7.6	55.9	14.9	29.1	147	37.3	133.1	59.3	21760	1519	1	193	2	117	15.07	73.8	43.5649	1.6519
tou1.RS.3S.V5.Y1	FR1	At	RS	Single	First	7.6	55.9	14.9	29.1	147	37.3	133.1	59.3	21760	1519	1	193	2	117	15.07	73.8	43.5649	1.6519
tou1.RS.4P.V5.Y1	FR1	At	RS	Pooled	First	7.6	55.9	14.9	29.1	147	37.3	133.1	59.3	21760	1519	1	193	2	117	15.07	73.8	43.5649	1.6519
tou1.RS.4P.V5.Y2	FR1	At	RS	Pooled	Second	7.6	55.9	14.9	29.1	147	37.3	133.1	59.3	21760	1519	1	193	2	117	15.07	73.8	43.5649	1.6519
tou1.RS.4P.V5.Y3	FR1	At	RS	Pooled	Third	7.6	55.9	14.9	29.1	147	37.3	133.1	59.3	21760	1519	1	193	2	117	15.07	73.8	43.5649	1.6519
tou1.RS.4S.V5.Y1	FR1	At	RS	Single	First	7.6	55.9	14.9	29.1	147	37.3	133.1	59.3	21760	1519	1	193	2	117	15.07	73.8	43.5649	1.6519
tou1.RS.N1.V5.Y1	FR1	Neighbor	RS	Neighbor	First	7.6	55.9	14.9	29.1	147	37.3	133.1	59.3	21760	1519	1	193	2	117	15.07	73.8	43.5649	1.6519
tou1.RS.N1.V5.Y2	FR1	Neighbor	RS	Neighbor	Second	7.6	55.9	14.9	29.1	147	37.3	133.1	59.3	21760	1519	1	193	2	117	15.07	73.8	43.5649	1.6519
