OTUid	Kingdom	Phylum	Class	Order	Family	Genus	Species	value1	value2
OTU_417	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Rhizobiaceae	g__Agrobacterium	s__	1	3
OTU_944	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	g__Rubellimicrobium	s__	1	3
OTU_415	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__	g__	s__	1	3
OTU_414	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Ellin329	f__	g__	s__	1	3
OTU_412	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Paenibacillaceae	g__Paenibacillus	s__	1	3
OTU_411	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Rhizobiaceae	g__Rhizobium	s__	0.67	3
OTU_948	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Myxococcales	f__	g__	s__	1	3
OTU_419	k__Bacteria	p__others	c__Chloroflexi	o__AKIW781	f__	g__	s__	1	3
OTU_418	k__Bacteria	p__Bacteroidetes	c__Cytophagia	o__Cytophagales	f__Cytophagaceae	g__Adhaeribacter	s__	1	3
OTU_786	Unassigned	p__others	1	1	1	1	1	1	1
OTU_780	k__Bacteria	p__others	c__TM7-3	o__	f__	g__	s__	0.67	3
OTU_789	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Syntrophobacterales	f__Syntrophobacteraceae	g__	s__	1	3
OTU_3301	k__Bacteria	p__others	c__Chloroflexi	o__Roseiflexales	f__Kouleothrixaceae	g__	s__	1	3
OTU_1139	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Myxococcales	f__Myxococcaceae	g__	s__	1	3
OTU_1963	k__Bacteria	p__others	c__	o__	f__	g__	s__	1	3
OTU_1052	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__	f__	g__	s__	1	3
OTU_2451	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__	f__	g__	s__	1	3
OTU_822	k__Bacteria	p__others	c__TM7-3	o__EW055	f__	g__	s__	1	3
OTU_823	k__Bacteria	p__Actinobacteria	c__Thermoleophilia	o__Solirubrobacterales	f__	g__	s__	1	3
OTU_356	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Hyphomicrobiaceae	g__Rhodoplanes	s__	0.67	3
OTU_1905	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Myxococcales	f__	g__	s__	1	3
OTU_825	Unassigned	p__others	1	1	1	1	1	1	1
OTU_451	k__Bacteria	p__others	c__S085	o__	f__	g__	s__	1	3
OTU_457	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Exiguobacteraceae	0.67	3		
OTU_2340	k__Bacteria	p__Acidobacteria	c__Acidobacteriia	o__Acidobacteriales	f__Acidobacteriaceae	g__	s__	0.67	3
OTU_987	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__	g__	s__	0.67	3
OTU_2347	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__Comamonadaceae	g__	s__	0.67	3
OTU_2566	k__Bacteria	p__others	c__	o__	f__	g__	s__	1	1
OTU_2950	k__Bacteria	p__others	c__Chlamydiia	o__Chlamydiales	f__Parachlamydiaceae	g__Parachlamydia	s__	0.67	3
OTU_2162	k__Bacteria	p__Actinobacteria	c__Acidimicrobiia	o__Acidimicrobiales	f__	g__	s__	1	3
OTU_3185	k__Bacteria	p__others	c__TK17	o__	f__	g__	s__	1	3
OTU_1454	k__Bacteria	p__Bacteroidetes	c__Flavobacteriia	o__Flavobacteriales	f__Flavobacteriaceae	g__Flavobacterium	s__succinicans	0.67	3
OTU_1453	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Hyphomicrobiaceae	g__	s__	0.67	3
OTU_1452	k__Bacteria	p__Bacteroidetes	c__Flavobacteriia	o__Flavobacteriales	f__Cryomorphaceae	g__	s__	1	3
OTU_776	k__Bacteria	p__others	c__ML635J-21	o__	f__	g__	s__	1	3
OTU_775	k__Bacteria	p__others	c__C0119	o__	f__	g__	s__	1	3
OTU_578	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__MIZ46	f__	g__	s__	1	3
OTU_579	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Spirobacillales	f__	g__	s__	1	3
OTU_574	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodospirillales	f__Rhodospirillaceae	g__	s__	1	3
OTU_575	k__Bacteria	p__Verrucomicrobia	c__Pedosphaerae	o__Pedosphaerales	f__Ellin517	g__	s__	1	3
OTU_576	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	1	3			
OTU_570	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Sporichthyaceae	g__	s__	1	3
OTU_572	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodospirillales	f__Rhodospirillaceae	g__Skermanella	s__	1	3
OTU_573	k__Bacteria	p__others	c__TM7-3	o__	f__	g__	s__	0.67	3
OTU_83	k__Bacteria	p__others	c__Armatimonadia	o__Armatimonadales	f__Armatimonadaceae	g__	s__	1	3
OTU_82	k__Bacteria	p__Acidobacteria	c__Acidobacteriia	o__Acidobacteriales	f__Koribacteraceae	g__	s__	1	3
OTU_81	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Hyphomicrobiaceae	g__Rhodoplanes	s__	0.67	3
OTU_80	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Xanthomonadales	f__Xanthomonadaceae	g__Pseudoxanthomonas	s__mexicana	0.67	3
OTU_174	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Caulobacterales	f__Caulobacteraceae	g__Caulobacter	s__	0.67	3
OTU_175	k__Bacteria	p__Acidobacteria	c__Solibacteres	o__Solibacterales	f__	g__	s__	1	3
OTU_176	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Aurantimonadaceae	g__	s__	1	3
OTU_84	k__Bacteria	p__others	c__ABS-6	o__	f__	g__	s__	1	3
OTU_178	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Nocardiaceae	g__Rhodococcus	s__fascians	0.67	3
OTU_179	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Sphingopyxis	s__alaskensis	0.67	3
OTU_89	k__Bacteria	p__Acidobacteria	c__Solibacteres	o__Solibacterales	f__	g__	s__	1	3
OTU_88	k__Bacteria	p__Verrucomicrobia	c__Pedosphaerae	o__Pedosphaerales	f__Ellin517	g__	s__	1	3
OTU_318	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Sphingopyxis	s__	0.67	3
OTU_319	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Entotheonellales	f__Entotheonellaceae	g__	s__	1	3
OTU_310	k__Bacteria	p__others	c__TK17	o__	f__	g__	s__	0.67	3
OTU_311	k__Bacteria	p__Actinobacteria	c__Thermoleophilia	o__Solirubrobacterales	f__	g__	s__	1	3
OTU_312	k__Bacteria	p__others	c__TK10	o__AKYG885	f__	g__	s__	0.67	3
OTU_313	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Desulfuromonadales	f__Geobacteraceae	g__Geobacter	s__	1	3
OTU_314	k__Bacteria	p__others	c__Chloroflexi	o__Roseiflexales	f__Kouleothrixaceae	g__Kouleothrix	s__	0.67	3
OTU_315	k__Bacteria	p__others	c__Nitrospira	o__Nitrospirales	f__Nitrospiraceae	g__	s__	0.67	3
OTU_316	k__Bacteria	p__others	c__C0119	o__	f__	g__	s__	1	3
OTU_317	k__Bacteria	p__Bacteroidetes	c__Saprospirae	o__Saprospirales	f__Chitinophagaceae	g__	s__	1	3
OTU_952	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Bdellovibrionales	f__Bacteriovoracaceae	g__	s__	1	3
OTU_951	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Procabacteriales	f__Procabacteriaceae	g__	s__	1	3
OTU_957	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Micromonosporaceae	g__Dactylosporangium	s__	0.67	3
OTU_954	k__Bacteria	p__others	c__Elusimicrobia	o__FAC88	f__	g__	s__	1	3
OTU_958	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Bdellovibrionales	f__Bacteriovoracaceae	g__	s__	1	3
OTU_408	k__Bacteria	p__Actinobacteria	c__Thermoleophilia	o__Gaiellales	f__	g__	s__	1	3
OTU_409	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__	g__	s__	0.67	3
OTU_796	k__Bacteria	p__Bacteroidetes	c__Saprospirae	o__Saprospirales	f__	g__	s__	1	3
OTU_792	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Spirobacillales	f__	g__	s__	1	3
OTU_799	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Beijerinckiaceae	g__	s__	0.67	3
OTU_2959	k__Bacteria	p__Acidobacteria	c__Solibacteres	o__Solibacterales	f__	g__	s__	1	3
OTU_1121	k__Bacteria	p__others	c__Chloroflexi	o__Roseiflexales	f__Kouleothrixaceae	g__	s__	0.67	3
OTU_1122	k__Bacteria	p__others	c__	o__	f__	g__	s__	1	3
OTU_1125	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Myxococcales	f__	g__	s__	1	3
OTU_1126	Unassigned	p__others	1	1	1	1	1	1	1
OTU_3653	k__Bacteria	p__others	c__SJA-4	o__	f__	g__	s__	1	2
OTU_1025	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Xanthomonadales	f__Sinobacteraceae	g__	s__	1	3
OTU_1026	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Geodermatophilaceae	g__Modestobacter	s__	0.67	3
OTU_1027	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Myxococcales	f__	g__	s__	1	3
OTU_1023	k__Bacteria	p__Gemmatimonadetes	c__Gemmatimonadetes	o__Gemmatimonadales	f__Gemmatimonadaceae	g__Gemmatimonas	s__	0.67	3
OTU_2999	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Oxobacter	s__	1	3
OTU_1507	k__Bacteria	p__Acidobacteria	c__Solibacteres	o__Solibacterales	f__Solibacteraceae	g__Candidatus Solibacter	s__	1	3
OTU_1506	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Aurantimonadaceae	g__	s__	1	3
OTU_2933	k__Bacteria	p__others	c__Nitrospira	o__Nitrospirales	f__Thermodesulfovibrionaceae	g__GOUTA19	s__	0.67	3
OTU_2228	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rickettsiales	f__	g__	s__	1	3
OTU_2224	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__	s__	0.67	3
OTU_1808	Unassigned	p__others	1	1	1	1	1	1	1
OTU_1803	k__Bacteria	p__others	c__SC3	o__	f__	g__	s__	1	3
OTU_3084	k__Bacteria	p__others	c__Elusimicrobia	o__IIb	f__	g__	s__	1	3
OTU_2575	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodospirillales	f__Rhodospirillaceae	g__	s__	1	3
OTU_3771	k__Bacteria	p__others	c__C0119	o__	f__	g__	s__	1	3
OTU_3777	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodobacterales	f__Hyphomonadaceae	g__	s__	1	3
OTU_3791	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Sphingomonas	s__	1	3
OTU_549	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__A21b	0.67	3			
OTU_548	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	g__Rubellimicrobium	s__	0.67	3
OTU_144	k__Bacteria	p__others	c__	o__	f__	g__	s__	1	3
OTU_540	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Bdellovibrionales	f__Bdellovibrionaceae	g__Bdellovibrio	s__	1	3
OTU_543	k__Bacteria	p__others	c__Chlamydiia	o__Chlamydiales	f__Parachlamydiaceae	g__Candidatus Protochlamydia	s__	1	3
OTU_542	k__Bacteria	p__others	c__Chlamydiia	o__Chlamydiales	f__Parachlamydiaceae	g__	s__	0.67	3
OTU_544	k__Bacteria	p__others	c__Chloroflexi	o__Chloroflexales	f__FFCH7168	g__	s__	1	2
OTU_546	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Syntrophobacterales	f__Syntrophobacteraceae	g__	s__	1	3
OTU_146	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Alicyclobacillaceae	g__Alicyclobacillus	0.67	3	
OTU_141	k__Bacteria	p__Bacteroidetes	c__Sphingobacteriia	o__Sphingobacteriales	f__	g__	s__	1	3
OTU_140	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Hyphomicrobiaceae	g__Rhodoplanes	s__	1	3
OTU_149	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Mycobacteriaceae	g__Mycobacterium	s__celatum	1	3
OTU_148	k__Bacteria	p__Actinobacteria	c__Acidimicrobiia	o__Acidimicrobiales	f__	g__	s__	1	3
OTU_78	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Ellin6067	f__	g__	s__	1	3
OTU_79	k__Bacteria	p__Actinobacteria	c__Thermoleophilia	o__Gaiellales	f__Gaiellaceae	g__	s__	1	3
OTU_76	k__Bacteria	p__others	c__ABS-6	o__	f__	g__	s__	1	3
OTU_77	k__Bacteria	p__Acidobacteria	c__Acidobacteriia	o__Acidobacteriales	f__Koribacteraceae	g__	s__	1	3
OTU_626	k__Bacteria	p__Acidobacteria	c__DA052	o__Ellin6513	f__	g__	s__	1	3
OTU_75	k__Bacteria	p__Bacteroidetes	c__Saprospirae	o__Saprospirales	f__Chitinophagaceae	g__Flavisolibacter	s__	1	3
OTU_72	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Aurantimonadaceae	g__	s__	1	3
OTU_73	k__Bacteria	p__Bacteroidetes	c__Saprospirae	o__Saprospirales	f__Chitinophagaceae	g__	s__	1	3
OTU_70	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodospirillales	f__Acetobacteraceae	g__	s__	1	3
OTU_71	k__Bacteria	p__Actinobacteria	c__Thermoleophilia	o__Gaiellales	f__Gaiellaceae	g__	s__	1	3
