OTUid	Kingdom	Phylum	Class	Order	Family	Genus	Species	value1	value2
OTU_104	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Xanthobacteraceae	g__Labrys	s__	0.67	3
OTU_107	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Caulobacterales	f__Caulobacteraceae	g__Mycoplana	s__	1	3
OTU_106	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Nocardioidaceae	g__	s__	0.67	3
OTU_747	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	1	3			
OTU_210	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Paenibacillaceae	g__Cohnella	s__	1	3
OTU_749	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Nocardioidaceae	g__	s__	0.67	3
OTU_748	k__Bacteria	p__others	c__TK17	o__	f__	g__	s__	1	3
OTU_219	k__Bacteria	p__others	c__vadinHA49	o__DH61	f__	g__	s__	1	3
OTU_218	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Bdellovibrionales	f__Bdellovibrionaceae	g__Bdellovibrio	s__	1	3
OTU_585	k__Bacteria	p__others	c__Chloroflexi	o__Roseiflexales	f__Kouleothrixaceae	g__	s__	1	3
OTU_584	Unassigned	p__others	1	1	1	1	1	1	1
OTU_586	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Nocardioidaceae	g__	s__	1	3
OTU_580	k__Bacteria	p__Acidobacteria	c__Solibacteres	o__Solibacterales	f__Solibacteraceae	g__Candidatus Solibacter	s__	1	3
OTU_582	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__MIZ46	f__	g__	s__	1	3
OTU_3358	k__Bacteria	p__Actinobacteria	c__OPB41	o__	f__	g__	s__	1	3
OTU_3608	k__Bacteria	p__others	c__TK10	o__B07_WMSP1	f__	g__	s__	0.67	3
OTU_2866	k__Bacteria	p__Bacteroidetes	c__Flavobacteriia	o__Flavobacteriales	f__Cryomorphaceae	g__Crocinitomix	s__	1	3
OTU_361	k__Bacteria	p__Actinobacteria	c__Thermoleophilia	o__Solirubrobacterales	f__	g__	s__	0.67	3
OTU_360	k__Bacteria	p__Gemmatimonadetes	c__Gemmatimonadetes	o__Gemmatimonadales	f__A1-B1	g__	s__	0.67	3
OTU_363	k__Bacteria	p__others	c__	o__	f__	g__	s__	1	3
OTU_362	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Hyphomicrobiaceae	g__Rhodoplanes	s__	1	3
OTU_365	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Myxococcales	f__	g__	s__	1	3
OTU_364	k__Bacteria	p__others	c__TM7-3	o__	f__	g__	s__	0.67	3
OTU_367	k__Bacteria	p__Verrucomicrobia	c__Pedosphaerae	o__Pedosphaerales	f__	g__	s__	0.67	3
OTU_366	k__Bacteria	p__Actinobacteria	c__Acidimicrobiia	o__Acidimicrobiales	f__	g__	s__	1	3
OTU_369	k__Bacteria	p__Gemmatimonadetes	c__Gemm-3	o__	f__	g__	s__	1	3
OTU_368	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Ellin329	f__	g__	s__	1	3
OTU_694	k__Bacteria	p__Acidobacteria	c__Solibacteres	o__Solibacterales	f__Solibacteraceae	g__Candidatus Solibacter	s__	1	3
OTU_699	k__Bacteria	p__others	c__Chloroflexi	o__Chloroflexales	f__FFCH7168	g__	s__	1	1
OTU_961	k__Bacteria	p__Gemmatimonadetes	c__Gemmatimonadetes	o__	f__	g__	s__	1	3
OTU_967	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Methylobacteriaceae	g__	s__	0.67	3
OTU_965	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Paenibacillaceae	g__Paenibacillus	s__	1	3
OTU_1767	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Legionellales	f__Coxiellaceae	g__	s__	1	3
OTU_1114	k__Bacteria	p__Acidobacteria	c__Acidobacteria-5	o__	f__	g__	s__	1	3
OTU_1273	Unassigned	p__others	1	1	1	1	1	1	1
OTU_1272	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodospirillales	f__Acetobacteraceae	g__	s__	1	3
OTU_1853	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Legionellales	f__Coxiellaceae	g__	s__	0.67	3
OTU_2252	k__Bacteria	p__Actinobacteria	c__MB-A2-108	o__0319-7L14	f__	g__	s__	1	3
OTU_3307	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Xanthomonadales	f__Xanthomonadaceae	g__	s__	1	3
OTU_8	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__Comamonadaceae	g__	s__	0.67	3
OTU_9	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Nocardioidaceae	g__	s__	0.67	3
