OTU_984	OTU_1217	OTU_1795	OTU_337	OTU_1	OTU_8
tub4.Root.4P.ITS1o.Y1	0	0	0	0	0	0
spa3.Root.3S.ITS1o.Y1	0	0	0	0	0.349970640046976	0
spa3.RP.N3.ITS1o.Y1	0.0050071530758226	0	0.00214592274678112	0	0.01931330472103	0
tub4.Root.4S.ITS1o.Y1	0	0	0	0	0	0
tub4.RP.4P.ITS1o.Y1	0	0	0	0	0	0.00738613048830529
spa3.RS.3S.ITS1o.Y1	0	0	0	0	0.011134307585247	0
spa3.RP.1P.ITS1o.Y1	0	0	0	0	0	0.083969465648855
spa3.RP.4P.ITS1o.Y1	0	0	0	0	0	0
tub4.RP.N3.ITS1o.Y1	0	0	0	0	0.00414364640883978	0
tub4.Root.N3.ITS1o.Y1	0	0	0	0	0	0
tub4.Root.3S.ITS1o.Y1	0	0	0	0	0	0
tub4.Root.N1.ITS1o.Y1	0	0	0	0	0	0
tub4.Root.N2.ITS1o.Y1	0	0	0	0	0	0
tub4.Root.1P.ITS1o.Y1	0	0	0	0	0.089572192513369	0.298128342245989
spa3.RP.1S.ITS1o.Y1	0	0	0	0	0	0
SD.RS.2P.ITS1o.Y1	0	0	0	9.73520249221184e-05	0	0.000292056074766355
SD.Root.2P.ITS1o.Y1	0	0	0	0	0.000568343279340722	0.000284171639670361
SD.RS.3P.ITS1o.Y1	0	7.30513551026372e-05	0	0	0.000292205420410549	0
pulh.Soil.1P.ITS1o.Y1	0.0017941776910417	0.00312969341595244	0.0107560727743653	0.000804906783700413	0.158917377892493	0.000103423776676589
SD.RP.1P.ITS1o.Y1	0	0	0	0	0.0190239333354866	0.00032298698362456
SD.RS.4S.ITS1o.Y1	0	0	3.26136586002218e-05	0	9.78409758006653e-05	0.000228295610201552
SD.Soil.1P.ITS1o.Y1	9.2378752886836e-05	0.000277136258660508	0.000554272517321016	0.000646651270207852	0.00277136258660508	0.0033256351039261
SD.RP.N2.ITS1o.Y1	0	3.83391481041291e-05	0	0	0.0124985622819461	0.000498408925353679
SD.Soil.N1.ITS1o.Y1	0	0	0	0	0.00765177217931134	0
SD.RS.1P.ITS1o.Y1	0	0	0	0	7.24270297675092e-05	7.24270297675092e-05
pulh.RP.1P.ITS1o.Y1	0.00176854987752792	0.00535428475421578	0.00821933555581101	0.000959438308558897	0.155561647227356	0.00045098021876962
SD.Root.N2.ITS1o.Y1	0	0	0	0	0	0.00337837837837838
SD.RP.2P.ITS1o.Y1	0	0	0	0	0.018629222855554	0
SD.Root.4P.ITS1o.Y1	0	0	0	0	0	0
SD.Root.1P.ITS1o.Y1	0	0	0	0	0.000919117647058824	0.000114889705882353
pulh.Soil.3S.ITS1o.Y1	0.00260005236216563	0.0059584533299629	0.0139572255274585	0.00139933373658219	0.225220507913007	0.000144447353453646
SD.Root.3S.ITS1o.Y1	0	0	0	0	0	0
pulh.RP.2P.ITS1o.Y1	0.000697414915380324	0.00144132415845267	0.00088339222614841	4.64943276920216e-05	0.0123674911660777	0
SD.Soil.N2.ITS1o.Y1	0	0.000313873195229127	0	0	0.0125549278091651	0.00470809792843691
pulh.RP.N1.ITS1o.Y1	0	0	0	2.54598225814078e-05	2.18227050697781e-05	0.602223006223108
SD.Soil.2S.ITS1o.Y1	0.000221385875581138	0.000996236440115121	0.00166039406685853	0.000442771751162276	0.00254593756918309	0.00354217400929821
SD.RP.3P.ITS1o.Y1	0	0	0	0	0.00705065625338974	0
pulh.RS.1S.ITS1o.Y1	0.00209800020406081	0.00354555657585961	0.0137804815835119	0.000797112539536782	0.175352004897459	6.37690031629426e-06
SD.RS.N1.ITS1o.Y1	0	0.000742942050520059	0.00037147102526003	0.000742942050520059	0.00222882615156018	0.00705794947994056
SD.RP.4P.ITS1o.Y1	0	0	0	0	0.0225765157686489	0
pulh.Soil.3P.ITS1o.Y1	0.00185711408945472	0.00379030273197145	0.00701675877654219	0.000881569820777303	0.14227731412078	0.158454344080729
SD.Root.3P.ITS1o.Y1	0	0	0	0	0.000553939897521119	0.000415454923140839
pulh.RS.2S.ITS1o.Y1	0.00258140983145503	0.00603668213503686	0.0132686474216035	0.000984350830671568	0.199371220795918	1.00443962313425e-05
SD.RP.N1.ITS1o.Y1	0	0	0.000759532128209023	0	0.176819079447061	0
pulh.Soil.4P.ITS1o.Y1	0.00206234075675892	0.00529100529100529	0.0110575503196128	0.000845960164787033	0.169477356799968	0.000250284072422199
SD.RS.4P.ITS1o.Y1	0	0	0	0	0.000785777428543365	0
pulh.Soil.N2.ITS1o.Y1	0.00221599881348095	0.00384746250687047	0.0120309541881505	0.000828818453860985	0.177183936625924	0.00591514643913419
SD.Soil.3S.ITS1o.Y1	0.00016239038648912	0	0.00178629425138032	0.00016239038648912	0.00600844430009743	0.00600844430009743
SD.RS.2S.ITS1o.Y1	0	0	0	0	0.000134223683769001	0
SD.Soil.N3.ITS1o.Y1	0	0	0	0	0.00208298892378906	6.61266325012399e-05
SD.RS.3S.ITS1o.Y1	0	0	0	0	0	0
pulh.Soil.2S.ITS1o.Y1	0.00200860172187766	0.0044465228957597	0.00860172187765929	0.00085863890400877	0.170255828394882	7.66641878579259e-06
SD.Root.4S.ITS1o.Y1	0	0	0	0	0.00348432055749129	0.00696864111498258
pulh.Soil.N3.ITS1o.Y1	0.00218649759422614	0.00484287289494788	0.00835129310344828	0.00090843023255814	0.168686096631917	5.01202886928629e-05
pulh.Root.N3.ITS1o.Y1	0.00233690360272639	0.00934761441090555	0.0103213242453749	0.00233690360272639	0.228042843232717	0
pulh.Soil.2P.ITS1o.Y1	0.00359138767716053	0.008803279550113	0.0136385136910706	0.00140151714230655	0.281240693050227	4.37974106970796e-05
SD.Soil.3P.ITS1o.Y1	0	0.000662163951794464	0.00331081975897232	0.00119189511323004	0.00701893788902132	0.00913786253476361
SD.Soil.2P.ITS1o.Y1	0.000266714082503556	0	0.00106685633001422	0.000622332859174964	0.00257823613086771	0.0123577524893314
SD.Soil.4P.ITS1o.Y1	4.90990327490548e-05	0.000196396130996219	0.000883782589482987	0.000147297098247165	0.00216035744095841	0.00324053616143762
pulh.RS.N1.ITS1o.Y1	0.0014288630332721	0.00357215758318024	0.00642988364972443	0.000714431516636048	0.106654419269239	0.402939375382731
SD.Root.N1.ITS1o.Y1	0	0	0	0	0.0114503816793893	0.00763358778625954
pulh.RS.N2.ITS1o.Y1	0.00165623849834376	0.00920132499079867	0.0121457489878543	0.00147221199852779	0.241810820758189	0.0502392344497608
pulh.Soil.N1.ITS1o.Y1	0.00167786065342526	0.00439015457105666	0.00832990996965992	0.000960191642373158	0.142553812802225	0.0096365625139203
SD.Soil.4S.ITS1o.Y1	7.35835172921266e-05	0.00022075055187638	0.00103016924208977	0.000147167034584253	0.00206033848417954	0.0025018395879323
SD.Soil.1S.ITS1o.Y1	0	0.00089126559714795	0.00445632798573975	0.00089126559714795	0.0115864527629234	0.00802139037433155
SD.RS.1S.ITS1o.Y1	0	0	0	0	0.000435843793584379	0.000784518828451883
pulh.RP.N3.ITS1o.Y1	0.00286532951289398	0.00573065902578797	0.0659025787965616	0.00286532951289398	0	0
pulh.Root.2S.ITS1o.Y1	0.00226564712546021	0.00693854432172189	0.00623052959501558	0.0011328235627301	0.201642594165959	0
pulh.Soil.4S.ITS1o.Y1	0.00242142715951769	0.00933979047242538	0.0107234631350069	0.00133425578177505	0.217286024906108	0
pulh.RP.4P.ITS1o.Y1	0.00180754600800485	0.00648531617157783	0.00641579517126995	0.000715073146023895	0.148159183227562	0.00055616800246303
SD.RS.N2.ITS1o.Y1	0	0.000368595650571323	0.00147438260228529	0.000737191301142647	0.00516033910799853	0.00405455215628456
pulh.Soil.1S.ITS1o.Y1	0.00253209542001688	0.00404246812669362	0.0124827861934166	0.00111056816667407	0.185198347474568	4.44227266669628e-05
pulh.Root.2P.ITS1o.Y1	0.00252188102655392	0.00474707016763092	0.00474707016763092	0.00074172971369233	0.153834742619789	0
pulh.RS.1P.ITS1o.Y1	0.00134661998384056	0.00471316994344196	0.00983032588203609	0.000942633988688392	0.145030972259628	0.000269323996768112
pulh.Root.1S.ITS1o.Y1	0.00331425128050618	0.00994275384151853	0.00964145827056342	0.00210906899668575	0.207592648388069	0
pulh.Root.4P.ITS1o.Y1	0.00214646464646465	0.00681818181818182	0.0112373737373737	0.000378787878787879	0.150505050505051	0
pulh.RS.N3.ITS1o.Y1	0.00258366141732283	0.0046751968503937	0.0077509842519685	0.00135334645669291	0.14800688976378	0.000861220472440945
pulh.Root.4S.ITS1o.Y1	0.00197215777262181	0.00696055684454756	0.00823665893271462	0.00127610208816705	0.174593967517401	0
pulh.RS.4S.ITS1o.Y1	0.0017579841781424	0.00659244066803399	0.0125988866100205	0.00102549077058306	0.176970407266335	0
pulh.RP.N2.ITS1o.Y1	0	0	0	0	0	0.567567567567568
pulh.RS.3P.ITS1o.Y1	0.00179492932465784	0.0074040834642136	0.00628225263630245	0.00134619699349338	0.175678707650886	0.00314112631815122
pulh.Root.3S.ITS1o.Y1	0.00230547550432277	0.00547550432276657	0.0145533141210375	0.00115273775216138	0.163832853025937	0
pulh.Root.3P.ITS1o.Y1	0.0016240956739997	0.00487228702199911	0.0131404104532703	0.000295290122545401	0.153255573601063	0
pulh.RS.2P.ITS1o.Y1	0.00147109726548979	0.00519210799584631	0.00519210799584631	0.000259605399792316	0.129023883696781	8.65351332641052e-05
SD.Root.2S.ITS1o.Y1	0	0	0	0	0.00120821586790173	0.000402738622633911
SD.RP.2S.ITS1o.Y1	0	0	0	0	0	0
pulh.RS.3S.ITS1o.Y1	0.00405222872579919	0.00675371454299865	0.0157586672669968	0.00225123818099955	0.263845114813147	0
pulh.Root.1P.ITS1o.Y1	0.00190091481525484	0.00510870856599739	0.00760365926101937	0.000594035879767138	0.149934656053226	0
pulh.Root.N2.ITS1o.Y1	0.00215982721382289	0.00629949604031678	0.0143988480921526	0.00143988480921526	0.194924406047516	0.00143988480921526
pulh.Root.N1.ITS1o.Y1	0.00224511357633386	0.00409403063919704	0.0106973058637084	0.00118858954041204	0.153988378235605	0.000396196513470681
pulh.RS.4P.ITS1o.Y1	0.0017259978425027	0.00496224379719525	0.00776699029126214	0.000431499460625674	0.111974110032362	0.000215749730312837
SD.RP.N3.ITS1o.Y1	0	0	0	0	0	0.0460526315789474
pulh.RP.3P.ITS1o.Y1	0	0	0	0.000983284169124877	0.0265486725663717	0.0825958702064897
SD.Root.N3.ITS1o.Y1	0	0	0	0	0.00392156862745098	0
SD.RP.3S.ITS1o.Y1	0	0	0	0	0.00442477876106195	0.123893805309735
tub2.Root.3P.ITS1o.Y1	0.00269210510914731	0.00187276877158073	0.00942236788201557	0.00122900450634986	0.126060747937028	0.00181424474746884
tub2.Root.2P.ITS1o.Y1	0.00160527205136871	0.00245015207840487	0.00675904021628929	0.00168976005407232	0.127914836093275	0.00270361608651571
tub3.Soil.4P.ITS1o.Y1	0.00206646855893705	0.00198107729617106	0.00927349113638692	0.00146872971957509	0.139102367045804	0.00329610274276736
tub2.Root.4S.ITS1o.Y1	0.00125971026663867	0.00164962058726493	0.00701838577127261	0.00116973096187877	0.0868300290933085	0.00233946192375754
