OTU_984	OTU_1217	OTU_1795	OTU_337	OTU_1	OTU_8
tub2.RP.2P.ITS1o.Y1	0	0	0	0	0.267080745341615	0
tub3.RP.2S.ITS1o.Y1	0.0104712041884817	0	0.00523560209424084	0	0.246073298429319	0
tub2.RP.1S.ITS1o.Y1	0	0	0	0	0.330275229357798	0.055045871559633
tub2.Root.1S.ITS1o.Y1	0	0	0	0	0.238095238095238	0
tub3.Root.4S.ITS1o.Y1	0	0	0	0	0.421276595744681	0
tub3.RP.2P.ITS1o.Y1	0	0	0	0.00383141762452107	0.28735632183908	0
tub2.RP.N1.ITS1o.Y1	0	0	0	0	0.227722772277228	0.0099009900990099
tub3.RP.4S.ITS1o.Y1	0	0.00520833333333333	0.0104166666666667	0	0.739583333333333	0.015625
geyen.RS.4P.ITS1o.Y1	0	0	0	0	0.000181752090149037	0.0116321337695383
spa1.Root.1P.ITS1o.Y1	0.00190631808278867	0.00408496732026144	0.00354030501089325	0.00163398692810458	0.125272331154684	0.00190631808278867
spa1.Soil.2S.ITS1o.Y1	0.00498753117206983	0.0029925187032419	0.0119700748129676	0.00249376558603491	0.303241895261845	0.00249376558603491
geyen.RP.N1.ITS1o.Y1	0	0	0	0	0.290010023387905	0
geyen.RS.4S.ITS1o.Y1	0	0	0	0	0.00353283458021613	0.099334995843724
spa1.RS.1P.ITS1o.Y1	0.00165700082850041	0.00331400165700083	0.00497100248550124	0.000828500414250207	0.112399889533278	0.00165700082850041
geyen.Soil.1P.ITS1o.Y1	0.00170274872293846	0.00170274872293846	0.00340549744587692	0	0.0586232060325955	0.000729749452687911
spa1.Soil.1S.ITS1o.Y1	0.00231588698471515	0.00301065308012969	0.00463177396943029	0.000463177396943029	0.132468735525706	0.0016211208893006
spa1.Root.N2.ITS1o.Y1	0.0013262599469496	0.00341038272072755	0.00397877984084881	0.000189465706707086	0.0790071996968549	0.00227358848048503
geyen.RS.1P.ITS1o.Y1	0.00036003600360036	0.00216021602160216	0.00216021602160216	0.00018001800180018	0.0552655265526553	0.00288028802880288
geyen.Soil.2P.ITS1o.Y1	0.0031201248049922	0.0078003120124805	0.0109204368174727	0.0015600624024961	0.21996879875195	0.0093603744149766
geyen.RS.2S.ITS1o.Y1	0.00329218106995885	0.00493827160493827	0.00411522633744856	0	0.107818930041152	0.00329218106995885
spa1.Soil.3S.ITS1o.Y1	0.000529941706412295	0.00397456279809221	0.00662427133015368	0.000264970853206147	0.126391096979332	0.00211976682564918
geyen.Root.N2.ITS1o.Y1	0.001634521085322	0.0052304674730304	0.004903563255966	0.0019614253023864	0.135665250081726	0.0039228506047728
spa1.Root.4S.ITS1o.Y1	0.000709219858156028	0.00307328605200946	0.00520094562647754	0.000472813238770686	0.075886524822695	0.000709219858156028
spa1.Soil.N2.ITS1o.Y1	0.00307255967856299	0.00543606712361144	0.00827227605766958	0.00118175372252423	0.203261640274167	0.00425431340108721
geyen.Soil.1S.ITS1o.Y1	0.000741289844329133	0	0.00667160859896219	0.000741289844329133	0.0934025203854707	0.0022238695329874
spa1.Soil.2P.ITS1o.Y1	0.00234672924611323	0.00205338809034908	0.00616016427104723	0.000880023467292461	0.124963332355529	0.00968025814021707
geyen.RS.3S.ITS1o.Y1	0.000229515721826945	0.000688547165480835	0	0.000229515721826945	0.0025246729400964	0.0339683268303879
spa1.RS.3S.ITS1o.Y1	0.00218281036834925	0.00300136425648022	0.00682128240109141	0.00109140518417462	0.103137789904502	0.00218281036834925
spa1.RP.1P.ITS1o.Y1	0.0015319800842589	0.00191497510532363	0.00536193029490617	0.000765990042129452	0.128686327077748	0.0015319800842589
geyen.RS.N2.ITS1o.Y1	0.00103252452245741	0.00413009808982963	0.00542075374290139	0.00103252452245741	0.1115126484254	0.00258131130614352
spa1.RS.1S.ITS1o.Y1	0.00128225677191858	0.00256451354383715	0.00560987337714377	0.000480846289469466	0.118929315595448	0.00240423144734733
geyen.RS.2P.ITS1o.Y1	0.0014792899408284	0.0022189349112426	0.00320512820512821	0.000986193293885602	0.0993589743589744	0.0022189349112426
spa1.Soil.3P.ITS1o.Y1	0.00142551674982181	0.00427655024946543	0.00570206699928724	0.000237586124970302	0.121168923734854	0.00237586124970302
spa1.Root.N1.ITS1o.Y1	0.00371120107962213	0.00371120107962213	0.00641025641025641	0.00168690958164642	0.118758434547908	0.00134952766531714
spa1.RP.2P.ITS1o.Y1	0.00197863078749505	0.00474871388998813	0.00435298773248912	0.000791452314998021	0.109220419469727	0.0035615354174911
geyen.Soil.3P.ITS1o.Y1	0.000788022064617809	0.00394011032308905	0.00472813238770686	0	0.113475177304965	0.00157604412923562
spa1.RS.3P.ITS1o.Y1	0.00151114469210427	0.0011333585190782	0.00528900642236494	0.000377786173026067	0.123158292406498	0.00151114469210427
geyen.RP.2P.ITS1o.Y1	0	0	0	0	0	0.000571428571428571
geyen.Soil.3S.ITS1o.Y1	0.00115074798619102	0.00268507863444572	0.0061373225930188	0.00115074798619102	0.0809359416954354	0.00268507863444572
geyen.RS.N3.ITS1o.Y1	0.0006635700066357	0.0024330900243309	0.0037602300376023	0	0.0813979208139792	0.0121654501216545
spa1.Root.3S.ITS1o.Y1	0.00301204819277108	0.00401606425702811	0.0100401606425703	0.000753012048192771	0.135291164658635	0.000251004016064257
geyen.Soil.N1.ITS1o.Y1	0.00539811066126856	0.0067476383265857	0.00472334682860999	0.00269905533063428	0.118758434547908	0.00134952766531714
spa1.Soil.4P.ITS1o.Y1	0.00133511348464619	0.00244770805518469	0.00400534045393859	0.000222518914107699	0.147530040053405	0.00289274588340009
spa1.RP.4P.ITS1o.Y1	0.000461254612546125	0.000461254612546125	0.00415129151291513	0.000461254612546125	0.129612546125461	0.0018450184501845
geyen.Root.1P.ITS1o.Y1	0.00261878039655817	0.00448933782267116	0.00486344930789375	0.00149644594089039	0.123082678638234	0.00261878039655817
spa1.Root.2P.ITS1o.Y1	0.00147983721790603	0.00258971513133555	0.00776914539400666	0.00147983721790603	0.160562338142804	0.00147983721790603
spa1.RP.N3.ITS1o.Y1	0.00221141088014153	0.00309597523219814	0.00486510393631137	0.000884564352056612	0.144626271561256	0.00132684652808492
geyen.Soil.2S.ITS1o.Y1	0	0.00371245359433007	0.00506243671954101	0.00134998312521093	0.0685116436044549	0.00607492406344921
spa1.RS.N1.ITS1o.Y1	0.00176803394625177	0.00388967468175389	0.00601131541725601	0.000353606789250354	0.118104667609618	0.00424328147100424
geyen.Root.N1.ITS1o.Y1	0.00374149659863946	0.00306122448979592	0.00816326530612245	0.00136054421768707	0.14047619047619	0.00238095238095238
geyen.RS.3P.ITS1o.Y1	0.000540832882639265	0.00648999459167117	0.00324499729583559	0.00108166576527853	0.13250405624662	0.0124391563007031
geyen.RS.1S.ITS1o.Y1	0	0	0	0	0.00128393250183419	0
spa1.Soil.N3.ITS1o.Y1	0.00198229152900753	0.00383243028941456	0.00317166644641205	0.000792916611603013	0.111140478393022	0.00118937491740452
geyen.RS.N1.ITS1o.Y1	0.00251466890192791	0.009639564124057	0.00461022632020117	0.00209555741827326	0.155490360435876	0.00461022632020117
spa1.RS.N3.ITS1o.Y1	0.00194024058983314	0.0069848661233993	0.00737291424136593	0.000776096235933256	0.133100504462553	0.00349243306169965
geyen.Root.2P.ITS1o.Y1	0.00139470013947001	0.00557880055788006	0.00523012552301255	0.00104602510460251	0.132496513249651	0.00174337517433752
geyen.Soil.4P.ITS1o.Y1	0.00193948797517455	0.00387897595034911	0.00465477114041893	0.000387897595034911	0.0942591155934833	0.00193948797517455
spa1.Root.N3.ITS1o.Y1	0.00173946656358717	0.00405875531503672	0.00367220718979513	0.000966370313103981	0.105914186316196	0.00289911093931194
geyen.RP.N3.ITS1o.Y1	0.00132978723404255	0.00398936170212766	0.00842198581560284	0.000886524822695035	0.113475177304965	0.00842198581560284
spa1.Soil.4S.ITS1o.Y1	0.00189949922293214	0.00379899844586427	0.00742531514418926	0.00069072699015714	0.126921084441375	0.0034536349507857
spa1.Root.2S.ITS1o.Y1	0.0024906600249066	0.00155666251556663	0.00716064757160648	0.000933997509339975	0.11612702366127	0.00062266500622665
spa1.RP.3P.ITS1o.Y1	0.00165137614678899	0.00275229357798165	0.0055045871559633	0	0.100733944954128	0.00165137614678899
spa1.Soil.1P.ITS1o.Y1	0.00351014040561622	0.00507020280811232	0.00351014040561622	0.00078003120124805	0.143330733229329	0.00214508580343214
spa1.Root.4P.ITS1o.Y1	0.00276912426445137	0.00484596746278989	0.006576670128072	0.00276912426445137	0.135687088958117	0.00138456213222568
spa1.Root.1S.ITS1o.Y1	0.00105485232067511	0.00421940928270042	0.00791139240506329	0.00210970464135021	0.12289029535865	0.00158227848101266
spa1.RS.4P.ITS1o.Y1	0.00216049382716049	0.0037037037037037	0.00864197530864197	0.000617283950617284	0.0916666666666667	0.00185185185185185
geyen.Soil.4S.ITS1o.Y1	0.00194552529182879	0.00389105058365759	0.00648508430609598	0.00194552529182879	0.127107652399481	0.00583657587548638
geyen.Root.N3.ITS1o.Y1	0.00290697674418605	0.00319767441860465	0.00436046511627907	0.000872093023255814	0.0976744186046512	0.103779069767442
spa1.RS.N2.ITS1o.Y1	0.00110782865583456	0.00295420974889217	0.0107090103397341	0.00110782865583456	0.127400295420975	0.00110782865583456
spa1.RS.2P.ITS1o.Y1	0.000997008973080758	0.00132934529744101	0.00398803589232303	0.00132934529744101	0.130275839149219	0.000997008973080758
spa1.Root.3P.ITS1o.Y1	0.00289169295478444	0.00473186119873817	0.00604626708727655	0.0010515247108307	0.113827549947424	0.00236593059936909
geyen.Soil.N2.ITS1o.Y1	0.00230547550432277	0.00230547550432277	0.00922190201729107	0.000576368876080692	0.137752161383285	0.00230547550432277
spa1.Soil.N1.ITS1o.Y1	0.00162249864791779	0.00270416441319632	0.00324499729583559	0.00162249864791779	0.151433207138994	0.00324499729583559
geyen.Root.3P.ITS1o.Y1	0.00231252064750578	0.00462504129501156	0.00561612157251404	0.0013214403700033	0.114304592005286	0.00198216055500496
spa1.RS.2S.ITS1o.Y1	0.00361663652802893	0.0108499095840868	0.0132610006027728	0.00180831826401447	0.266425557564798	0.00723327305605787
geyen.Soil.N3.ITS1o.Y1	0.00183234081539166	0.00549702244617499	0.00412276683463124	0	0.097572148419606	0.000916170407695831
spa1.RS.4S.ITS1o.Y1	0.000941176470588235	0.00517647058823529	0.0112941176470588	0.00141176470588235	0.108705882352941	0.00188235294117647
spa1.RP.3S.ITS1o.Y1	0.000906618313689937	0.00453309156844968	0.00498640072529465	0.0013599274705349	0.109247506799637	0.0779691749773345
geyen.RP.2S.ITS1o.Y1	0	0	0	0	0.144230769230769	0
spa1.RP.N2.ITS1o.Y1	0.000910746812386157	0.00273224043715847	0.00819672131147541	0.000910746812386157	0.158469945355191	0.000910746812386157
geyen.RP.N2.ITS1o.Y1	0.00524109014675052	0.00314465408805031	0.010482180293501	0.00314465408805031	0.133123689727463	0
spa1.RP.N1.ITS1o.Y1	0.00598802395209581	0	0.00598802395209581	0.0179640718562874	0.0658682634730539	0.0239520958083832
geyen.Root.4P.ITS1o.Y1	0	0	0.005	0	0.26	0
geyen.Root.3S.ITS1o.Y1	0	0	0	0	0.00895522388059702	0
spa1.RP.1S.ITS1o.Y1	0	0	0.0291970802919708	0	0.0802919708029197	0
geyen.RP.3P.ITS1o.Y1	0	0	0	0	0.191588785046729	0.130841121495327
spa1.RP.2S.ITS1o.Y1	0	0	0.0072992700729927	0	0.192214111922141	0.0121654501216545
spa1.RP.4S.ITS1o.Y1	0.00387596899224806	0.00387596899224806	0	0	0.197674418604651	0
geyen.RP.4P.ITS1o.Y1	0	0	0	0	0.314285714285714	0.133333333333333
geyen.RP.1P.ITS1o.Y1	0	0	0	0	0.00398406374501992	0
geyen.RP.4S.ITS1o.Y1	0	0	0.0118343195266272	0	0.372781065088757	0
spa2.RS.1S.ITS1o.Y1	0.00169596053037311	0.00215849522047487	0.00822283893514236	0.000513927433446397	0.120207626683112	0.00205570973378559
tou1.RP.N2.ITS1o.Y1	0.00183073978530415	0.00324540234667554	0.0115669468253308	0.00141466256137139	0.171257385370725	0.000249646334359657
spa2.Root.1P.ITS1o.Y1	0.00138700262952582	0.00216719160863409	0.00751293090993152	0.000837980755338515	0.116710492096975	0.00182044095125264
spa2.RS.1P.ITS1o.Y1	0.00196568977841315	0.0016678579938051	0.0094710507505361	0.000953061710745771	0.138789611627353	0.00172742435072671
tou1.RP.N1.ITS1o.Y1	0.00133892707310542	0.00205302151209497	0.0104436311702223	0.00107114165848433	0.145764527358743	0.00562349370704276
tou1.RS.1S.ITS1o.Y1	0.00129261593149136	0.00135724672806592	0.00979156568104702	0.000613992567458394	0.103021489739861	0.00216513168524802
tou1.Root.4S.ITS1o.Y1	0.00212918924897688	0.00257161818382922	0.0118626258157283	0.000884857869704679	0.130240017697157	0.00212918924897688
tou1.RP.2P.ITS1o.Y1	0.00105494505494505	0.0021978021978022	0.00531868131868132	0.000395604395604396	0.0782417582417582	0.000395604395604396
spa2.Root.2P.ITS1o.Y1	0.00160155977995961	0.00201935798342734	0.0135784416127011	0.0011141285425806	0.166910382285356	0.0022282570851612
tou1.RS.N2.ITS1o.Y1	0.00313075506445672	0.00441988950276243	0.0197053406998158	0.00119705340699816	0.211878453038674	0.00340699815837937
tou1.RS.2S.ITS1o.Y1	0.00187265917602996	0.00145131086142322	0.0105805243445693	0.00135767790262172	0.123174157303371	0.0026685393258427
tou1.RS.3S.ITS1o.Y1	0.000338906461816539	0.000819023949389968	0.00344554902846814	0.000282422051513782	0.041967916854948	0.000706055128784455
tou1.RS.N3.ITS1o.Y1	0.00110995037868895	0.00169757116740663	0.0058109166884304	0.000424392791851658	0.0848132671715853	0.00153434317054061
spa2.RS.3S.ITS1o.Y1	0.00212467428342353	0.00172379234315494	0.0129484866706755	0.000761675686510323	0.128322309079976	0.00188414511926238
tou1.Soil.2P.ITS1o.Y1	0.00393700787401575	0.00454270139309509	0.0158994548758328	0.00158994548758328	0.226983646274985	0.00378558449424591
tou1.Soil.N3.ITS1o.Y1	0.00154952520958322	0.00190710795025627	0.00727084906035202	0.000595971234455084	0.103301680638881	0.0016289880408439
tou1.Root.N1.ITS1o.Y1	0.00191021967526266	0.00250014045732906	0.0122759705601438	0.00103938423506939	0.131468060003371	0.00162930501713579
tou1.Soil.4P.ITS1o.Y1	0.00144092219020173	0.00159530671058049	0.00993207081103335	0.000771922601893783	0.119493618773158	0.0027274598600247
spa2.Soil.2P.ITS1o.Y1	0.00136549840691853	0.0019723865877712	0.00963434987103626	0.000303444090426339	0.135867091488393	0.00182066454255803
tou1.RS.N1.ITS1o.Y1	0.0021943795568769	0.00212359311955829	0.0111134706590217	0.00120336943441637	0.155234657039711	0.00276067105542578
tou1.Soil.N1.ITS1o.Y1	0.00225697243269386	0.00214949755494653	0.011177387285722	0.000806061583104949	0.129560965124402	0.00177333548283089
spa2.RS.N1.ITS1o.Y1	0.00206028233498665	0.00251812285387257	0.0104540251812285	0.000915681037771843	0.137275848912629	0.00228920259442961
tou1.Root.3P.ITS1o.Y1	0.00193586661254566	0.00224810316295626	0.0117713179504793	0.000749367720985419	0.126299684641084	0.00231055047303837
spa2.Root.N3.ITS1o.Y1	0.00181653042688465	0.00242204056917953	0.0141537995761429	0.00128670905237663	0.185210414774447	0.00317892824704814
spa2.Soil.N1.ITS1o.Y1	0.00183223133912212	0.0028678403568868	0.0121086592846332	0.000955946785628933	0.16155500677129	0.00231020473193659
tou1.Root.N2.ITS1o.Y1	0.00230608733848238	0.00215966909476921	0.0124455507156192	0.00135436875434679	0.153812365020682	0.0021962736556975
tou1.Soil.2S.ITS1o.Y1	0.00224178013948854	0.00232480903354367	0.0102540684158087	0.000456658917303222	0.115202590501495	0.00178512122218532
tou1.RS.1P.ITS1o.Y1	0.00105570609142415	0.00130203751275645	0.00478586761445614	0.000703804060949432	0.060069676602034	0.000809374670091846
tou1.RS.4P.ITS1o.Y1	0.00112824370063934	0.00146671681083114	0.00793531402783001	0.000564121850319669	0.0882286573899962	0.00180518992102294
tou1.Root.3S.ITS1o.Y1	0.00144074550916559	0.00229906198271105	0.0114033474342468	0.00107289559193183	0.127582612960579	0.00165532462755196
tou1.RS.3P.ITS1o.Y1	0.000971360531428213	0.00100269474211945	0.00369743686156546	0.000250673685529861	0.0566522529297487	0.00106536316350191
spa2.Soil.1S.ITS1o.Y1	0.0015218594355285	0.00159103486441616	0.0105838406198118	0.000830105146651909	0.124861649142225	0.00235196458218041
spa2.Root.3S.ITS1o.Y1	0.0026359932901989	0.0020968128444764	0.0147375988497484	0.000539180445722502	0.159297867241792	0.00131799664509945
spa2.Soil.3P.ITS1o.Y1	0.00144508670520231	0.00270953757225434	0.0104768786127168	0.000903179190751445	0.129877167630058	0.00135476878612717
tou1.Root.4P.ITS1o.Y1	0.00150851869380028	0.00239588263132986	0.0107666824420256	0.000828206341694274	0.135382158069096	0.00192262186464742
tou1.RS.2P.ITS1o.Y1	0.0011304155505861	0.0011304155505861	0.00361241491165557	0.000319465264296071	0.0513110362961689	0.000860098788489421
tou1.Root.1S.ITS1o.Y1	0.00160759682966951	0.00328996560490504	0.00938387916853597	0.00112157918349035	0.143113503813369	0.00209361447584866
spa2.Soil.2S.ITS1o.Y1	0.00180570603105814	0.0050559768869628	0.025279884434814	0.000361141206211629	0.27266161068978	0.00559768869628025
spa2.RS.4S.ITS1o.Y1	0.00176720075400566	0.00182610744580584	0.0123704052780396	0.000824693685202639	0.130301602262017	0.00159048067860509
spa2.RP.4P.ITS1o.Y1	0.00180790960451977	0.0015819209039548	0.00870056497175141	0.00124293785310734	0.156949152542373	0.000338983050847458
spa2.Root.N2.ITS1o.Y1	0.00162388685175485	0.00188580408590885	0.00942902042954426	0.000838135149292823	0.132111052907281	0.00277632268203248
spa2.Soil.N3.ITS1o.Y1	0.00213371266002845	0.00174576490365964	0.00898745635587741	0.00122850122850123	0.118453381611276	0.00232768653821285
spa2.RS.3P.ITS1o.Y1	0.00149468237999425	0.00155217016384018	0.00988789882150043	0.000804828973843058	0.129232538085657	0.00201207243460765
spa2.RS.N2.ITS1o.Y1	0.00207770621234157	0.00277027494978877	0.0132280628852414	0.00083108248493663	0.165385414502389	0.00228547683357573
tou1.RP.4P.ITS1o.Y1	0.00104172092296474	0.0014063232460024	0.00770873482993906	0.000937548830668264	0.110318245741966	0.000989634876816501
spa2.Root.N1.ITS1o.Y1	0.00185264357987744	0.00192389910218042	0.0117571611799914	0.000712555223029785	0.16125124697164	0.00228017671369531
tou1.Soil.N2.ITS1o.Y1	0.0018374846876276	0.00142915475704369	0.013985300122499	0.000816659861167824	0.159759085340955	0.00311351572070233
spa2.Root.1S.ITS1o.Y1	0.000870995838575438	0.00125810510016452	0.0107422820090971	0.000580663892383625	0.112358463176231	0.000580663892383625
spa2.RS.2P.ITS1o.Y1	0.00133139675623336	0.00157346889373033	0.00629387557492133	0.000726216412490922	0.127814088598402	0.00181554103122731
tou1.Root.2P.ITS1o.Y1	0.00199427100329961	0.00264694151347039	0.00852097610500743	0.000906486819681642	0.149062692628449	0.00221182784002321
tou1.Soil.1S.ITS1o.Y1	0.00219077506069039	0.00254603588134289	0.0124341287228373	0.00124341287228373	0.160518680798153	0.00343418793297413
tou1.RS.4S.ITS1o.Y1	0.00195423312109941	0.00277375023639917	0.00970812582739709	0.000819517115299754	0.123116686629263	0.00321502868309904
tou1.Root.2S.ITS1o.Y1	0.00176444640494045	0.00401411557123952	0.00904278782531981	0.00101455668284076	0.154962505513895	0.00211733568592854
tou1.Root.1P.ITS1o.Y1	0.00217790361220871	0.00276904887837964	0.00989390498117669	0.00108895180610435	0.139883637721291	0.001929000342242
tou1.Soil.4S.ITS1o.Y1	0.0023210270544716	0.00340900848625517	0.00805106259519837	0.00123304562268804	0.145571915572641	0.00297381591354174
spa2.RP.N3.ITS1o.Y1	0.00227745321318942	0.00217843350826815	0.00851569462323002	0.00118823645905535	0.179225665907516	0.00247549262303198
tou1.Root.N3.ITS1o.Y1	0.00265130270738796	0.00321215520318156	0.01371539285168	0.00101973181053383	0.200377300769898	0.00254932952633457
spa2.RP.1P.ITS1o.Y1	0.00323066982554383	0.00107688994184794	0.00689209562782684	0.000215377988369589	0.176609950463063	0.00172302390695671
tou1.Soil.3P.ITS1o.Y1	0.00115660421003932	0.00148045338885034	0.00689336109183437	0.000647698357622022	0.0986814712005552	0.00189683090446449
spa2.Soil.1P.ITS1o.Y1	0.00271828665568369	0.00238879736408567	0.0112850082372323	0.000823723228995058	0.16169686985173	0.00172981878088962
spa2.RP.N1.ITS1o.Y1	0.00245487364620939	0.00259927797833935	0.00866425992779783	0.000722021660649819	0.193935018050542	0.000433212996389892
tou1.RP.N3.ITS1o.Y1	0.00142806140664049	0.00142806140664049	0.00749732238486255	0	0.105319528739736	0.00606926097822206
spa2.Soil.4P.ITS1o.Y1	0.00181938471716838	0.0014058881905392	0.00860072775388687	0.000744293747932517	0.135874958650347	0.00173668541184254
tou1.Soil.1P.ITS1o.Y1	0.00145843461351483	0.00131953607889437	0.00920202791860546	0.000902840475032988	0.117091464685048	0.00201402875199667
tou1.Soil.3S.ITS1o.Y1	0.00158998310642949	0.00129186127397396	0.0100367683593362	0.000347808804531452	0.118900924177681	0.00248434860379608
spa2.Root.4P.ITS1o.Y1	0.00284247927358863	0.00268456375838926	0.0131859455191473	0.00118436636399526	0.196683774180813	0.00213185945519147
spa2.Root.4S.ITS1o.Y1	0.00193230277185501	0.00259861407249467	0.0144589552238806	0.000666311300639659	0.134195095948827	0.00126599147121535
spa2.Soil.N2.ITS1o.Y1	0.00280767430978007	0.0026906878802059	0.013102480112307	0.00128685072531586	0.209405708937763	0.00315863359850257
spa2.Soil.3S.ITS1o.Y1	0.00181124880838894	0.00114394661582459	0.0132507149666349	0.00114394661582459	0.132697807435653	0.00238322211630124
spa2.RS.N3.ITS1o.Y1	0.00269775508237788	0.00346854224877156	0.0127179882454957	0.000867135562192889	0.169669525002409	0.00317949706137393
spa2.Root.3P.ITS1o.Y1	0.00234386813851505	0.00309995463481022	0.0105096022985029	0.00113412974444276	0.13791017692424	0.00219265083925601
spa2.Root.2S.ITS1o.Y1	0.00152063721940623	0.00188269370021723	0.0141202027516293	0.00130340333091962	0.156842867487328	0.00123099203475742
spa2.Soil.4S.ITS1o.Y1	0.00207516716624395	0.00207516716624395	0.0105295519176082	0.000614864345553762	0.131734686034894	0.00230574129582661
tou1.RP.1P.ITS1o.Y1	0.000655689931516829	0.0022584875418913	0.00735829812035553	0.000655689931516829	0.103599009179659	0.00167565204720968
tou1.RP.3P.ITS1o.Y1	0.00230215827338129	0.00230215827338129	0.0105035971223022	0.000911270983213429	0.13083932853717	0.00196642685851319
spa2.RS.4P.ITS1o.Y1	0.00103286955465095	0.00218725317455495	0.00978188225287077	0.000364542195759159	0.0961783826477915	0.00194422504404885
spa2.RS.2S.ITS1o.Y1	0.00424438735619345	0.0041326929520831	0.0230090472467329	0.00100524963699319	0.282921925611527	0.00301574891097956
tou1.RP.1S.ITS1o.Y1	0.000624219725343321	0	0	0	0.132958801498127	0
spa2.RP.2P.ITS1o.Y1	0.00105180120957139	0.00184065211674993	0.00709965816460689	0.000262950302392848	0.151985274783066	0.00236655272153563
spa2.RP.N2.ITS1o.Y1	0.0016366612111293	0.0016366612111293	0.0106382978723404	0	0.235679214402619	0
tou1.RP.2S.ITS1o.Y1	0	0	0.00282087447108604	0	0.109308885754584	0.0148095909732017
tou1.RP.3S.ITS1o.Y1	0	0.00033478406427854	0.000669568128557081	0	0.0716437897556076	0.00836960160696351
spa2.RP.4S.ITS1o.Y1	0.0041407867494824	0.0041407867494824	0.0186335403726708	0.0041407867494824	0.253623188405797	0.005175983436853
spa2.RP.3P.ITS1o.Y1	0.00130344108446298	0.00182481751824818	0.00964546402502607	0.00104275286757039	0.303701772679875	0
tou1.RP.4S.ITS1o.Y1	0.0145560407569141	0.00873362445414847	0	0	0.298398835516739	0
spa2.RP.1S.ITS1o.Y1	0.00264084507042254	0.00176056338028169	0.0132042253521127	0.000880281690140845	0.151408450704225	0.00704225352112676
spa2.RP.2S.ITS1o.Y1	0	0	0.00471698113207547	0	0.233490566037736	0
spa2.RP.3S.ITS1o.Y1	0	0.00523560209424084	0.0104712041884817	0	0.107329842931937	0
tou2.RP.4P.ITS1o.Y1	0.00128613767265	0.000503271263210871	0.0023485992283174	0.00156573281887826	0.121959402784768	0.0023485992283174
tou2.Root.3P.ITS1o.Y1	0.0021290751829674	0.000266134397870925	0.00239520958083832	0.00146373918829009	0.0998003992015968	0.00186294078509647
ham.Soil.1S.ITS1o.Y1	0.00211382113821138	0.00105691056910569	0.00341463414634146	0.00195121951219512	0.152682926829268	0.00284552845528455
tou2.RS.N1.ITS1o.Y1	0.00152311698521103	0.000540460865720041	0.00265317152262566	0.00191617943300742	0.118999656070358	0.00103178892546553
ham.RS.N1.ITS1o.Y1	0.00230049182928764	0.00087260034904014	0.00412501983182611	0.00237981913374584	0.163096937966048	0.00309376487386959
tou2.Soil.3P.ITS1o.Y1	0.00102918776501585	0.000288172574204438	0.00135852784982092	0.00131736033922029	0.0788357828002141	0.00111152278621712
ham.RS.2S.ITS1o.Y1	0.00180770534402892	0.00135577900802169	0.00463224494407412	0.00282453960004519	0.101457462433623	0.00180770534402892
ham.RS.N3.ITS1o.Y1	0.00199252801992528	0.000448318804483188	0.00273972602739726	0.00149439601494396	0.114321295143213	0.00164383561643836
tou2.Soil.4S.ITS1o.Y1	0.000913641058234687	0.00011917057281322	0.00111225867959005	0.000754746961150393	0.0699134027170891	0.00139032334948757
tou2.Soil.3S.ITS1o.Y1	0.00127959053103007	0.000373213904883771	0.00207933461292386	0.00138622307528258	0.0876519513755598	0.00127959053103007
ham.RS.4S.ITS1o.Y1	0.00199174847062171	0.000426803243704652	0.00341442594963722	0.00270308721012946	0.163821311708636	0.00184948072272016
tou2.Soil.N3.ITS1o.Y1	0.00137320720170888	0.000534025022886787	0.00289899298138541	0.00152578577967653	0.0710253280439426	0.000381446444919133
ham.RS.3P.ITS1o.Y1	0.00203843913803145	0.0001941370607649	0.00237817899437003	0.00150456222092798	0.110658124635993	0.00203843913803145
tou2.Soil.1P.ITS1o.Y1	0.00145522388059701	0.000373134328358209	0.0023134328358209	0.00141791044776119	0.100970149253731	0.00175373134328358
tou2.RP.4S.ITS1o.Y1	0.00217228464419476	0.000749063670411985	0.00352059925093633	0.00104868913857678	0.173782771535581	0.00314606741573034
tou2.Soil.N1.ITS1o.Y1	0.00151761517615176	0.00032520325203252	0.00287262872628726	0.00140921409214092	0.0999457994579946	0.00227642276422764
ham.RS.1P.ITS1o.Y1	0.0019963144963145	0.000614250614250614	0.00291769041769042	0.00127968877968878	0.126740376740377	0.0023034398034398
ham.Soil.2S.ITS1o.Y1	0.00104572125718933	0.000639051879393482	0.00278859001917156	0.00174286876198222	0.0912682275024691	0.00220763376517748
ham.Soil.3S.ITS1o.Y1	0.00209592906086256	0.00056428859330915	0.0026602176541717	0.00161225312374043	0.166465135026199	0.00290205562273277
ham.Root.3S.ITS1o.Y1	0.00144196106705119	0.000540735400144196	0.00234318673395818	0.00144196106705119	0.0838139870223504	0.000901225666906993
tou2.RP.3S.ITS1o.Y1	0.00148393356543576	0.000741966782717881	0.00291079276297015	0.00165515666913989	0.134923805718852	0.00525084184692655
tou2.RS.N2.ITS1o.Y1	0.00173819228002877	0.000479501318628626	0.00269719491728602	0.00185806760968593	0.128865979381443	0.00269719491728602
tou2.RS.1P.ITS1o.Y1	0.00150521449306526	0.000483818944199548	0.00231157940006451	0.00150521449306526	0.127244382324481	0.00198903343726481
tou2.RS.2P.ITS1o.Y1	0.00166254409796845	0.000486598272576132	0.00251409107497668	0.00154089452982442	0.109160212481246	0.0018247435221605
